"School","City","Perioxi","Category","Subcategory","Organization","Facebook","Website","Logo","Address","TK","Phone","email","Courses","Place","Rensponsible","Description","Verified","mobile","type","toPublish","UID","id","about","page_token","link","description","checkins","category","website","UID","picture","cover","emails","phone","street","longitude","latitude","located_in"
"Athens Tai Chi Chuan Association","Αθήνα","Ηράκλειο","Πολεμικές τέχνες",,,"https://www.facebook.com/TaiChiChuanAthens","http://taichiathens.gr/","149388_774579132616028_1860116670175726625_n.jpg","Σελήνης 23,Ηράκλειο,Τ.Κ: 14123","14123",,"taichiathens@gmail.com",,,,,,,,,"976","510076125732998","The Athens Taijiquan Association is under the Tung Ying Jie Taiji Legacy created by Master Alex Da De Dong","TaiChiChuanAthens","https://www.facebook.com/TaiChiChuanAthens/","Tai chi chuan (taijiquan) has been part of Chinese culture for hundreds of years. Literally, the translation of the word is ""ultimate fist"". Although it is a martial art, it is also an exercise for concentration and health. Its slow and gentle movements conceal the power and vitality within. A Chinese proverb characteristically says: ""a needle hidden inside the cotton"" Το Τάι Τσι Τσουάν (tai chi chuan, taijiquan) αποτελεί μέρος της πλούσιας κουλτούρας της Κίνας εδώ και εκατοντάδες χρόνια. Η κατά λέξη μετάφραση του είναι «μεγάλη μοναδική γροθιά» και είναι πολεμική τέχνη, αλλά είναι ταυτόχρονα και άσκηση για συγκέντρωση και υγεία. Το Τάι Τσι Τσουάν είναι μια τέχνη της οποίας οι αργές και απαλές κινήσεις κρύβουν αρκετή δύναμη και ζωντάνια. Όπως χαρακτηριστικά λέει και μια κινέζικη παροιμία: «μέσα στο βαμβάκι κρύβεται μια βελόνα». ","0","School Sports Team","http://www.taichiathens.gr","976","https://scontent.xx.fbcdn.net/v/t1.0-1/p50x50/21151275_1656815321059067_2608679026117624095_n.jpg?oh=d313b868be0d72bb699485dda9d1f581&oe=5B47C91E","https://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/21083225_1656714774402455_8350221654812717660_o.jpg?oh=ee8bb447c20217888a8ec13b280ae5cf&oe=5B36B899","taichiathens@gmail.com","306946993501","Selinis 23",,,
"PLANET FITNESS AND MORE","Αθήνα","Βριλήσσια","Κλειστού Χώρου","ΓΥΜΝΑΣΤΗΡΙΟ",,"https://www.facebook.com/planet.vrilissia?fref=ts","http://planetfitness.gr/clubs/vrilissia/","logo.png","Λεωφ. Πεντέλης 132, Βριλήσσια,Τ.Κ 152 35","15235",,,,,,,,,,,"798","407004046052652","Fitness Gym Club at Vrilissia Greece","planet.vrilissia","https://www.facebook.com/planet.vrilissia/","Υπηρεσίες • Personal Training • Power Cycling • Pole Dancing • TRX • Πλατφόρμα δόνησης • Solarium • Sauna • Massage • Διατροφική παρακολούθηση • Μηχανήματα ενδυνάμωσης • Ελεύθερα βάρη • Καρδιαγγειακά μηχανήματα • Ομαδικά προγράμματα • Τμήματα πολεμικών τεχνών (Kick Boxing by Zambidis Club) • Τμήματα χορών • Παιδικά τμήματα","8878","Boxing Studio","http://planetfitness.gr/clubs/vrilissia","798","https://scontent.xx.fbcdn.net/v/t1.0-1/p50x50/23621529_1517011395051906_5999628191873338857_n.png?oh=362c72d928d915770b590deb2b395ff3&oe=5B49613A","https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/25659602_1553432631409782_1914443915903133307_n.jpg?oh=6d85d11ee8aea35fb9016a505093c943&oe=5B3E76D8","vrilissia@planetfitness.gr","2130257755","Λεωφόρος Αναπαύσεως 26-28","23.845878839493","38.042599082298",
"Taiko Ryu – Martial Arts","Αθήνα",,"Πολεμικές τέχνες","Ju Jitsu,Kickboxing",,"https://www.facebook.com/Taiko-Ryu-Martial-Arts-560336074117474/",,"http://www.fightsports.gr/wp-content/uploads/2017/03/taiko-ryu-logo.jpg","Λεωφόρος Βουλιαγμένης 12,Βούλα",,,"taikoryu2016@gmail.com",,,,,,"6932 119 680",,,"281","560336074117474","Ο Σύλλογός μας είναι αναγνωρισμένος από την ΠΟΚ και από την ΕΦΕΟΖΖ. Διδάσκουμε Kick Boxing, Παρασιακό Ju Jitsu και Warrior Fitness.","TaikoRyu2016","https://www.facebook.com/TaikoRyu2016/","""Knowledge will give you power, but character respect."" - Bruce Lee","229","Martial Arts School",,"281","https://scontent.xx.fbcdn.net/v/t1.0-1/p50x50/19511295_806301876187558_167297139829737619_n.jpg?oh=a499c651921a4412e3d4f13caf1abd2e&oe=5B3539FD","https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/28276924_933010730183338_6834178391976853471_n.jpg?oh=6215c040a44eb08b8daa79fa61666010&oe=5B4585CB","taikoryu2016@gmail.com","6932119680","Λεωφ. Βουλιαγμένης 12","23.767204284668","37.85224657736",
"The Concept Group Fitness Terminal","Αθήνα","Ταύρος","Κλειστού Χώρου",,,"https://www.facebook.com/theConcept.tavrou","http://tctavros.gr/","10481659_270741016451542_5045148175655360785_o.jpg","Κορυζή 28, Ταύρος, ΤΚ 17778","17778",,"info@tctavros.gr",,,,,,,,,"1717","241150649410579","Fitness studio! Ολές τις νέες τάσεις του fitness θα τις βρείς μόνο στο theConcept Ταύρου! Απο functional &cross μέχρι Aerial yoga!Κορυζή 28 στον Ταύρο. ","theConcept.tavrou","https://www.facebook.com/theConcept.tavrou/","Φιλοσοφία Εμπνευσμένο από τη μοναδικότητα και τις ανάγκες κάθε ατόμου, δημιουργήσαμε τον πρώτο Personal Group Fitness χώρο εκγύμνασης στην Ελλάδα με σκοπό να μεταμορφώσει την καθημερινότητα σας ! Το theConcept Group Fitness Terminal είναι ειδικά σχεδιασμένο ώστε να εξυπηρετεί με τρόπο αποτελεσματικό, εξειδικευμένο και απόλυτα ευχάριστο τις ανάγκες κάθε ασκούμενου, προσφέροντας λύσεις και δίνοντας βάσεις για την υγιή και λειτουργική πλευρά της ζωή σας. Επιτυχία Κάντε τη προσωπική σας προπόνηση, ευχάριστη απόδραση από την καθημερινότητα μέσα στις τρείς αίθουσες Group Fitness που διαθέτουμε. Στην καρδιά του Terminal ‘χτυπούν’ τα καλύτερα προγράμματα ομαδικής άσκησης σχεδιασμένα με την υπογραφή και ποιότητα theConcept. Με συνεχιζόμενη και απόλυτα άρτια εκπαίδευση, η ομάδα μας θα δώσει το κίνητρο για να επιτύχετε τους στόχους σας. Με επιμονή και πάθος για την τελειότητα είμαστε οι ειδικοί και πρωτοπόροι στην ομαδική άσκηση. Ποτέ το Group Fitness δεν ήταν τόσο εξειδικευμένο και τόσο προσωπικό. Από τις αίθουσες, το χώρο υποδοχής, τα αποδυτήρια και το προσωπικό μας , όλα είναι σχεδιασμένα ώστε κάθε σας επίσκεψη να είναι μοναδική εμπειρία. theConcept is in your life … ","4577","Yoga Studio","http://www.tctavros.gr","1717","https://scontent.xx.fbcdn.net/v/t1.0-1/c13.0.50.50/p50x50/10336662_264718190387158_9177353547495588696_n.jpg?oh=3fead70d08278bac1090d5f27db14fba&oe=5B45D7AF","https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/19145768_696470263878613_2063615971627372494_n.jpg?oh=d92fd9a430b2bd7bd4f8dc5aea903538&oe=5B41B9AF","info@tctavros.gr","302130146969","28 Koryzi","23.699408769608","37.964908899462",
"Αθλητικός Σύλλογος ΦΟΙΝΙΞ","Αθήνα",,"Πολεμικές τέχνες","Kickboxing,Tae Kwon Do",,"https://www.facebook.com/TAE-KWON-DO-Foinix-215474698608355/",,"http://www.fightsports.gr/wp-content/uploads/2017/11/foinix-logo.png","Στρ. Μακρυγιάννη 81, Άγιος Δημήτριος",,"210 98 14 149","panosperg21@gmail.com",,,,,,,,,"246","215474698608355","αθλητικος συλλογος taekwondo","TAE-KWON-DO-Foinix-215474698608355","https://www.facebook.com/TAE-KWON-DO-Foinix-215474698608355/","αθλητικος συλλογος taekwondo","998","Martial Arts School","http://www.foinix-tkd.gr","246","https://scontent.xx.fbcdn.net/v/t1.0-1/c121.57.717.717/s50x50/1170806_215475815274910_2096291317_n.png?oh=1bf2ad3eb4b937ee26b6b35812be18c2&oe=5B09C1C0","https://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/1149616_215476848608140_208212414_o.png?oh=323e3fb6bb4a3d23da43024bc5951253&oe=5B034BA6","foinix.tkd@gmail.com","2109814149","Makrigianni 81, agios dimitrios","23.729782104492","37.923262333738",
"Α.Σ Taekwondo Περιστερίου Παρασίδης","Αθήνα",,"Πολεμικές τέχνες","Kickboxing,Boxing,Tae Kwon Do",,"https://www.facebook.com/taekwodokickboxing/",,"http://www.fightsports.gr/wp-content/uploads/2016/10/parasidis-logo.jpg","Σαρανταπόρου 62,Περιστέρι",,"210 57 54 640",,,,,,,"6945 242 388",,,"293","770315559765531","Αθλητική ομάδα: TAEKWONDO,KICKBOXING ΠΡΟΠΟΝΗΤΗΣ ΕΘΝΙΚΗΣ ΟΜΑΔΟΣ TKD Κ. ΠΑΡΑΣΙΔΗΣ 7 DAN W.T.F KURIAKOS PARASIDIS 7 DAN W.T.F. - PROPONITIS E8NIKHS ","taekwodokickboxing","https://www.facebook.com/taekwodokickboxing/","Αθλητικός σύλλογος Περιστερίου , tae kwon do - kick boxing - πυγμαχία - cross training","43","Stadium, Arena & Sports Venue",,"293","https://scontent.xx.fbcdn.net/v/t1.0-1/p50x50/21034186_1101809149949502_3129165019597071237_n.png?oh=fc0a1c743addbf1ed450f33f1d070069&oe=5B4E4F35","https://scontent.xx.fbcdn.net/v/t31.0-8/p720x720/22459238_1129172970546453_5430825879233096190_o.jpg?oh=67b8672c0f633a0e44252ff20e3c6751&oe=5B0A6037",,"2105754640","ΣΑΡΑΝΤΑΠΟΡΟΥ 62 ΠΕΡΙΣΤΕΡΙ","23.6904984","38.010721",
"Personal Center","Αθήνα","Αιγάλεω","Κλειστού Χώρου","ΓΥΜΝΑΣΤΗΡΙΟ",,"https://www.facebook.com/stonehammerpersonalcenter",,"1800336_721987294501115_996587996_n.jpg","Θηβών 333 & Βάρναλη 1,Αιγάλεω,Τ.Κ 12242","12242",,,,,,,,,,,"632","1.58542717834909E+15","Kick Boxing Boxing K1 Rules MMA Cross Fit Zumba Yoga Pilates Aerial Yoga Tae Bo Acro Yoga Gym BJJ","stonehammerpersonalcenter","https://www.facebook.com/stonehammerpersonalcenter/",,"3787","Martial Arts School","http://www.personalcenter.gr","632","https://scontent.xx.fbcdn.net/v/t1.0-1/c19.0.50.50/p50x50/10013756_1586253108266498_4402631433270015821_n.jpg?oh=582aa1fd042fb1f7cadfbb4598744197&oe=5B089F5A","https://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/10636510_1707669376124870_3237613983087477329_o.jpg?oh=fc6d1c26f62a22545768844a315bd1c3&oe=5B3D6C2B",,"6909857796","Λ. Θηβών 333 & Κ. Βαρνάλη 1","23.67495","37.98704",
"Slice Fitness Hall","Αθήνα","Πειραϊκή","Κλειστού Χώρου",,,"https://www.facebook.com/SliceGym","http://www.slicegym.gr/","logo (63).jpg","Ακτή Θεμιστοκλέους 74, Πειραϊκή, ΤΚ 18537","18537",,"info@slicegym.gr",,,,,,,,,"1554","280185065387084",,"SliceGym","https://www.facebook.com/SliceGym/",,"1770","Gym/Physical Fitness Center","http://www.slicegym.gr/","1554","https://scontent.xx.fbcdn.net/v/t1.0-1/c12.12.155.155/s50x50/603366_434305166641739_860157747_n.jpg?oh=7dfa0f76236b086547bf113fdd3d02a4&oe=5B029E1A","https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/14370317_1216540938418154_2000246311561305172_n.png?oh=4dc4de18a5e5956bc0e6b2d3a0f65216&oe=5B414F16",,"210-4186946","Ακτή Θεμιστοκλέους 74, Πειραϊκή","23.644220712934","37.929124540096",
"Smiles","Αθήνα","Περιστέρι","Κλειστού Χώρου",,,"https://www.facebook.com/smilestudios","http://www.smilestudios.gr/","418672_332680826826045_571104125_n.jpg","Μεσολογγίου 54, Περιστέρι, Τ.Κ 12134","12134",,"smilestudios@smilestudios.gr",,,,,,,,,"1590","161841463909983","Γυμναστική μόνο για Γυναίκες. Πρόγραμμα Κυκλικής Άσκησης 30'' Ομαδικά προγράμματα Pilates Personal Pilates με Reformer-Cadilac-Wunda Chair","smilestudios","https://www.facebook.com/smilestudios/",,"35","Gym/Physical Fitness Center","www.smilestudios.gr","1590","https://scontent.xx.fbcdn.net/v/t1.0-1/p50x50/418672_332680826826045_571104125_n.jpg?oh=08e024d795b36555a84299bb791c4d1b&oe=5B06B68B","https://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/27797464_1669410676486380_4469009144689854019_o.jpg?oh=c401fd1a618c1fc65e8f1be42339ef27&oe=5B095A95","info@smilestudios.gr","2105779100","Εθ. Αντίστασης & Μεσολογγίου 54","23.6910673","38.0134953",
"Παραδοσιακό Σαολίν & Τάι Τσι ""Shaolin Temple Greece-Peristeri","Αθήνα","Περιστέρι","Πολεμικές τέχνες",,,"https://www.facebook.com/shaolinperisteri","http://www.shaolin.com.gr/","img_20170626_131003.jpg","Αγίου Πέτρου 25,Περιστέρι,Τ.Κ: 12135","12135",,"alexop_n@yahoo.gr",,,,,,,,,"1594","350957061753203",,"shaolinperisteri","https://www.facebook.com/shaolinperisteri/",,"0","Education","http://www.shaolintemplegreece.com","1594","https://scontent.xx.fbcdn.net/v/t1.0-1/p50x50/15400967_633424383506468_4860478056845247560_n.jpg?oh=873f6b372d98d3663f6901e3c81a440a&oe=5B0AE5D5","https://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/16835756_666400983542141_8915709580388293963_o.jpg?oh=f2889dbb97d072deff16535e9f6493ca&oe=5B0162B6","alexop_n@yahoo.gr","2.10572025569944E+19","Αγίου Πέτρου 25Α",,,
"Shiai Club","Αθήνα","Κηφισιά","Πολεμικές τέχνες",,,"https://www.facebook.com/shiaiclub/timeline",,"logo (26).jpg","Μάρκου Mπότσαρη 30,Κηφισιά,Τ.Κ. 14561","14561",,"shiaiclub@gmail.com",,,,,,,,,"1159","369383796573556","Ακαδημία Πολεμικών Τεχνών Brazilian JiuJitsu Judo Self Defence Classes Personal & Group Training ","shiaiclub","https://www.facebook.com/shiaiclub/","Το Shiai Club είναι ένας ολοκαίνουργιος, υπερσύγχρονος αθλητικός σύλλογος στον οποίο διδάσκονται τα μαχητικά αθλήματα του Brazilian Jiu-Jitsu και του Judo. Βασικός σκοπός της σχολής μας είναι η καλλιέργεια του πνεύματος και της αυτοπεποίθησης για την ολοκληρωμένη διαμόρφωση του χαρακτήρα, μέσα από την αθλητική και ηθική εκπαίδευση... Η πολύχρονη αγωνιστική και προπονητική εμπειρία των δασκάλων, μαζί με την υψηλή ποιότητα τεχνικής και γνώσης, χαρακτηρίζουν την σχολή μας και αποτελούν ταυτόχρονα την εγγύηση για τα αποτελέσματά της. Το Shiai Club έχει ως στόχο να ενισχύσει τους μαθητές του με τα κατάλληλα ψυχικά, ηθικά και σωματικά εφόδια, δημιουργώντας δυνατούς, υγίεις και ισορροπημένους ανθρώπους...","289","Martial Arts School",,"1159","https://scontent.xx.fbcdn.net/v/t1.0-1/p50x50/14224721_663186733859926_6936999465067540352_n.jpg?oh=0449ed1ade414a1d6e35ed2d3271ffce&oe=5B087CA5","https://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/26220724_923377554507508_2353885813951687495_o.jpg?oh=fd84a4b4a2b683533465ce1160e593db&oe=5B4236CA","shiaiclub@gmail.com","2108088046","Μάρκου Μπότσαρη 30","23.80068","38.07613",
"Skarogiannis Team – House of Champions","Αθήνα",,"Πολεμικές τέχνες","Karate",,"https://www.facebook.com/skarogiannis.team.karate/",,"http://www.fightsports.gr/wp-content/uploads/2016/09/skarogiannis-stelios-house-of-champions-logo.jpg","Ανδρομάχης 52,Καλλιθέα",,"210 95 72 736",,,,,,,"6932 404 566 - 6980 056 394",,,"261","102463499475","Αθλητικός σύλλογος Wado Ruy","skarogiannis.team.karate","https://www.facebook.com/skarogiannis.team.karate/","Σύλλογος αναγνωρισμένος από την Ελληνική αλλά και την Παγκόσμια Ομοσπονδία Καράτε. Σε μάς, η ταχύτητα,η δύναμη και η τέχνη γίνονται ένα! Εκπαιδευτής - Προπονητής Εθνικής ελλάδος: Στέλιος Σκαρογιάννης - 6 DAN ","997","Gym/Physical Fitness Center","http://houseofchampions.weebly.com/","261","https://scontent.xx.fbcdn.net/v/t1.0-1/p50x50/14184479_10154462691264476_1573217183947239834_n.jpg?oh=e4cb87487baccb534effb045fe4dcade&oe=5B082E9E","https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/14224780_10154462677414476_2564778318514649176_n.jpg?oh=4cd610587bbdd36085d61c29c1a96e4f&oe=5B4570DA",,"2109572736","Ανδρομάχης 52","23.7100764","37.9571777",
"Sahaja Yoga","Αθήνα","Μαρούσι","Κλειστού Χώρου","YOGA",,"https://www.facebook.com/sahajayogahellas","http://www.sahajayoga.gr/en/","logo (4).png","Βασιλίσσης Σοφίας 26-28,2ος όροφος,Μαρούσι,Τ.Κ: 15124","15124",,"contact@sahajayoga.gr",,,,,,,,,"1278","163670597018473","Μαθήματα κάθε Πέμπτη, 7.00-9.00 μμ και Σάββατο, 5.00-7.00 μμ","sahajayogahellas","https://www.facebook.com/sahajayogahellas/","Η παρούσα και η σελίδα Sahaja yoga Meditation of Greece είναι οι επίσημες σελίδες της Σαχάτζα Γιόγκα στην Ελλάδα και εκπροσωπούν τον Σύλλογο Σαχάτζα Γιόγκα Ελλάδας καθώς και τη Διεθνή Οργάνωση της Σαχάτζα Γιόγκα. ","24","Other","http://www.sahajayoga.gr/","1278","https://scontent.xx.fbcdn.net/v/t1.0-1/c32.28.345.345/s50x50/303248_229701333748732_7473961_n.jpg?oh=249352df2d370f6b6d0f14e65a1913a0&oe=5B0BE7AD","https://scontent.xx.fbcdn.net/v/t1.0-0/p180x540/426847_335009253217939_1905456481_n.jpg?oh=d5c74e98457ac469d77a1037e53fe113&oe=5B368E23","contact@sahajayoga.gr","6946686112","26 Vasilissis Sofias, 151 24 Marousi, Greece","23.8083539","38.0536483",
"Ρυθμος & Κινηση","Αθήνα",,"Αθλητισμός","ΡΥΘΜΙΚΗ - ΕΝΟΡΓΑΝΗ",,"https://www.facebook.com/rythmoskaikinisiperama/about/?entry_point=page_nav_about_item&tab=overview/",,,"Leof. Irinis 87, Perama 188 63, Greece",,"21 0441 4890",,,,,,,,,,"124","1.53785373979453E+15","Νέα και δραστηριότητες του γυμναστηρίου ΡΥΘΜΟΣ & ΚΙΝΗΣΗ και της ομάδας του γενικής γυμναστικής.","rythmoskaikinisiperama","https://www.facebook.com/rythmoskaikinisiperama/","Το γυμναστήριο “Ρυθμός &Κίνηση” άνοιξε τις πόρτες του στο Περαμα τον Οκτώβριο του 1991. Όλα αυτά τα χρόνια στους κόλπους του έχουνε αθληθεί εκατοντάδες παιδιά και ενήλικες. Στο γυμναστήριο λειτουργούν τμήματα Γυναίκεια Yoga Pilates Aerobic Step Όργανα γυμναστικής Μυικής Ενδυνάμωσης Zumba Γενική γυμναστική Παιδικά & Εφηβικά Break dance Hip hop Ρυθμική Γενική γυμναστική Baby gym Αγωνιστική ομάδα γενικής γυμναστικής Λίγα λόγια για τη γενική γυμναστική στην οποία ειδικεύεται το γυμναστήριο. Στο άθλημα αυτό συνδυάζονται στοιχεία Ρυθμικής, Ενόργανης, Ακροβατικής και Χορού kαι απευθύνεται σε ένα ευρύ ηλικιακό φάσμα. Η ομάδα γενικής γυμναστικής του γυμναστηρίου είναι από τις πλέον αναγνωρισμένες στο χώρο με συμμετοχές και διακρίσεις τόσο σε πανελλήνιες όσο και σε πανευρωπαϊκές και παγκόσμιες διοργανώσεις Διεθνείς συμμετοχές World Gymnaestrada 1999 Σουηδία Ravensburg Gym Festival 2002 Γερμανία (Επίσημη προσκεκλημένη ομάδα της διοργανώτριας αρχής) World Gymnaestrada 2003 Πορτογαλία Eurogym 2006 Βέλγιο World Gymnaestrada 2007Αυστρία Συνεχείς συμμετοχές όλα αυτά τα 25 χρόνια στα μεγάλα φεστιβάλ και στις μεγάλες διοργανώσεις της Ελλάδος. Από το 2012 που η γενική γυμναστική απέκτησε και διαγωνιστικό χαρακτήρα Η αγωνιστική ομάδα γενικής γυμναστικής του ρυθμός και κίνηση έχει κατακτήσει: Χρυσό μετάλλιο στο Cosmogym Contest 2012 Χρυσό μετάλλιο και Τeam Οf Τhe Υear στο Cosmogym Contest 2013 Χρυσό μετάλλιο στο Cosmogym Contest 2014 χρυσό μετάλλιο στο Cosmogym Contest 2015 Χρυσό μετάλλιο στο Cosmogym Contest 2016 Και ειδικό βραβείο καλύτερης Μουσικής επένδυσης Χρυσό μετάλλιο στο Ego-Star Gym Contest 2016και Ειδικό βραβείο πρωτοτυπίας Χρυσό μετάλλιο στο Ego-Star Gym Contest 2017 και βραβείο των πρωταθλητών Χρυσό μετάλλιο στο Cosmogym Contest 2017 και φυσικά η μεγάλη επιτυχία της ομάδας μας Grand Team Of The Year Cosmogym Contest 2017 Υπεύθυνη των αθλητικών προγραμμάτων είναι η Άννα Τσικρικωνάκη. Απόφοιτος πανεπιστημίου Αθηνών , τμήμα επιστήμης φυσικής αγωγής και αθλητισμού. ","94","Gym/Physical Fitness Center",,"124","https://scontent.xx.fbcdn.net/v/t1.0-1/c0.0.50.50/p50x50/10411775_1537863596460208_6426942730488710419_n.jpg?oh=c4be334480783876894714a27b9960f0&oe=5B34B602","https://scontent.xx.fbcdn.net/v/t31.0-0/p480x480/26171256_2007588469487716_8026792877934717311_o.jpg?oh=94bf6b85f98b43bcfa5fdb2f8dc862a8&oe=5B0BCFE9","rythmoskinisi@gmail.com","2104414890","Λ.ΕΙΡΗΝΗΣ 87","23.565942421428","37.964102464286",
"Shaolin Gong Fu ""Η Πηγή του Νεαρού Δάσους ","Αθήνα","Ηράκλειο","Πολεμικές τέχνες",,,"https://www.facebook.com/shaolingongfu.gr/timeline","http://www.shaolin.com.gr/","75976_567114973305183_721611877_n.png","Πλαπούτα & Καλλικράτους 4 ,Ηράκλειο,Τ.Κ: 14122","14122",,"iraklio@shaolin.com.gr",,,,,,,,,"979","566620236687990","Αυθεντικό παραδοσιακό Shaolin Gong Fu με την έγκριση του μοναστηριού Σαολίν.","shaolingongfu.gr","https://www.facebook.com/shaolingongfu.gr/","Η σχολή ""Πηγή του Νεαρού Δάσους"" Ηρακλείου βρίσκεται στην οδό Πλαπούτα & Καλλικράτους 4, στο Ν.Ηράκλειο 141 22, Αθήνα. (Δίπλα στο τέρμα της γραμμής του λεωφορείου ""642"" και 10' από τον Προαστιακό Σιδηρόδρομο σταθμός ""Ηράκλειο""). Στην σχολή γίνονται απογευματινά και πρωινά μαθήματα. Mε την συγκατάθεση και την εγκυρότητα του ίδιου του ηγούμενου του ναού 少林方丈, αξιοσέβαστου Σι Γιούνγκ Σιν 释永信 (Shì Yǒng Xìn). -Επίσημο εγκεκριμένο μέλος της Πανευρωπαϊκής Ομοσπονδίας του Ναού Σαολίν (Shaolin Europian Association) -Αναγνωρισμένος Επίσημος Πολιτιστικός Φορέας Σαολίν (Ε.ΠΟ.ΚΕ.Σ.) -Μέλος της Ελληνικής Ομοσπονδίας Σαολίν (Ε.Ο.Σ.) -Μέλος της Ελληνικής Ομοσπονδίας Γου Σου Κουνγκ Φου www.shaolin.com.gr www.shaolin.gr www.shaolinfederation.gr www.shaolinculturalcenter.gr www.shaolin.org.gr","245","Martial Arts School","http://www.shaolin.com.gr/shaolinschools/irakleio.aspx","979","https://scontent.xx.fbcdn.net/v/t1.0-1/c206.42.522.522/s50x50/75976_567114973305183_721611877_n.png?oh=82178b5787d6f6b63cedfc5623bde00b&oe=5B46CC34","https://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/10604044_939821006034576_845329747788708498_o.jpg?oh=b78a15f108a405b60163403a9a9faf3a&oe=5B3E6F3E","iraklio@shaolin.com.gr","215 5405775","Plapouta & Kallikratous 4","23.777936516711","38.056711247125",
"PLAY & FLY","Αθήνα","Σύνορα-Βριλλήσια-Γέρακας-ΠάτημαΧαλανδρίου","Κλειστού Χώρου",,,"https://www.facebook.com/pages/PLAY-FLY/1381819405392797?fref=ts",,"10455996_1489312614643475_7257738330570388199_n.jpg","Ολύμπου 44,Σύνορα-Βριλλήσια-Γέρακας-Πάτημα Χαλανδρίου,Τ.Κ: 15344","15344",,"dkaponi@gmail.com",,,,,,,,,"1710","1.38181940539280E+15","Ερασιτεχνική σχολή χορού, Ολύμπου 44, Γέρακας","PLAY-FLY-1381819405392797","https://www.facebook.com/PLAY-FLY-1381819405392797/",,"315","Yoga Studio",,"1710","https://scontent.xx.fbcdn.net/v/t1.0-1/c117.2.418.418/s50x50/10455996_1489312614643475_7257738330570388199_n.jpg?oh=33e6e4b6244d80deb39b6458fa7e4319&oe=5B0B172E","https://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/21122507_1950514565189942_272098179843208822_o.jpg?oh=61402f36fa3ac37a80608e72482150b6&oe=5B4731A2",,"+30 210 8100038","Ολύμπου 44","23.8538785","38.0301753",
"Royal Academy Mogadam Team","Αθήνα",,"Πολεμικές τέχνες","Muay Thai,Kickboxing",,"https://www.facebook.com/Royal-Kick-Boxing-Muay-Thai-Academy-Mogadam-team-887019848024346/?fref=ts",,"http://www.fightsports.gr/wp-content/uploads/2016/07/13815020_10209893914373971_792448245_n.jpg","Χανίων 1, Λυκόβρυση (σύνορα Κηφισιάς)",,,,,,,,,"6951 864 399",,,"299","887019848024346","Kick Boxing - Muay Thai Academy Κέντρο Εκπαίδευσης και Πολιτισμού του Σώματος Kick Boxing - Muay Thai","mogadamteam","https://www.facebook.com/mogadamteam/","Kick Boxing - Muay Thai Academy Κέντρο Εκπαίδευσης και Πολιτισμού του Σώματος Kick Boxing - Muay Thai","487","Martial Arts School","http://www.royalacademy.com.gr","299","https://scontent.xx.fbcdn.net/v/t1.0-1/p50x50/14907017_1285323734860620_1839317244782591413_n.jpg?oh=14a3437703967e96a708244af5c3ae8c&oe=5B473E7C","https://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/21457612_1590672194325771_4132070929758423123_o.jpg?oh=19522551a81502b1b3c6e8c8aa1f752a&oe=5B3AD2C5","info@royalacademy.com.gr","211 183 5563","Hanion 1","23.790700435638","38.073264432926",
"Rock way climbing gym","Αθήνα","Ηράκλειο","ΑΘΛΗΜΑΤΑ ΒΟΥΝΟΥ",,,"https://www.facebook.com/rockway.climbing","http://www.rockwayclimbing.com/el/","top_logo.jpg","Προβελέγγιου 4, Ηράκλειο, TK 14122","14122",,"info@rockwayclimbing.com",,,,,,,,,"978","777607275602418","Γυμναστήριο bouldering εσωτερικού χώρου. Ένας εναλλακτικός τρόπος εκγύμνασης.","rockway.climbing","https://www.facebook.com/rockway.climbing/","Προβελέγγιου 4, Ηράκλειο Αττικής, 14122 Πρόσβαση απο προαστιακό, στάση Ηράκλειο, λεωφορείο Α8 προς Μαρούσι ,στάση 9η Αμαρουσίου. ","417","Rock Climbing Gym","http://www.rockwayclimbing.com","978","https://scontent.xx.fbcdn.net/v/t1.0-1/p50x50/1891009_801639153199230_698412807_n.png?oh=7cc746dd15e7e2cb0ed653165d98f9cf&oe=5B05E8BA","https://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/1556466_790237237672755_228968056_o.jpg?oh=5786db3a42a5fc7ae8a47e18b3b32379&oe=5B082759","info@rockwayclimbing.com","210 2814989","Proveleggiou 4, Iraklio","23.779889157222","38.060937307778",
