"School","City","Perioxi","Category","Subcategory","Facebook","Website","Organization","Logo","Address","TK","Phone","email","Courses","Place","Rensponsible","Description","Verified","map block field","έτος ίδρυσης","data origin","mobile","Eidos","To publish"
"ΑΚΑΔΗΜΙΑ AIKIDO KOBAYASHI HIROKAZU RYU","Αθήνα","Γέρακας","Πολεμικές τέχνες","Aikido","www.facebook.com/AikidoKobayashiRyuHellas/","https://aikidokobayashihellas.wordpress.com/",,"https://www.polemikes-tehnes.gr/pics/logos/b/2017109184146323.png",,,," aikido.kobayashi.hellas@gmail.com",,,,,,,,"polemikes-texnes.gr",,,
"Aikido Glyfadas","Αθήνα","ΓΛΥΦΑΔΑ","Πολεμικές τέχνες","Aikido","https://el-gr.facebook.com/people/Aikido-Glyfadas-Jiyudo-Glyfada/100008894490086",,,,,,,,,,,,,,,"aikido.gr",,,
"Aikido Academy","Αθήνα","ΕΛΛΗΝΙΚΟ","Πολεμικές τέχνες","Aikido",,"http://www.aikidoacademy.gr/",,,"Thrakis 30, Elliniko 167 77, Greece",,"21 0973 2896","info@aikidoacademy.gr",,,,,,,,"hunter.io",,,
"ΕΜΠ Dojo","Αθήνα","ΕΜΠ","Πολεμικές τέχνες","Aikido","https://el-gr.facebook.com/AikidoEMP/",,,,,,,,,,,,,,,"aikido.gr",,,
"Α.Σ. ΕΞΑΡΧΕΙΩΝ ""BLACK BELT"" SHOTOKAN KARATE - BRAZILIAN JIU JITSU - AIKIDO","Αθήνα","Εξάρχεια","Πολεμικές τέχνες","Aikido",,"http://black-belt.gr/",,,"Zoodochou Pigis 55, Athina 106 81, Greece",,"693 200 7477",,,,,,,,,"hunter.io",,,
"Hakushinkai Dojo","Αθήνα","ΗΛΙΟΥΠΟΛΗ","Πολεμικές τέχνες","Aikido","https://el-gr.facebook.com/HakushinkaiAthens/","http://www.hakushinkai-athens.gr/greek/home.html",,,,,,,,,,,,,,"aikido.gr",,,
"AIKIDO DOJO ΗΡΑΚΛΕΙΟΥ","Ηράκλειο","Θέρισσος","Πολεμικές τέχνες","Aikido","www.facebook.com/aikidoheraklion","www.aikido-heraklion.gr",,"https://www.polemikes-tehnes.gr/pics/logos/b/1.jpg",,,," info@aikido-heraklion.gr",,,,,,,,"polemikes-texnes.gr",,,
"Α.Σ. ΑΤΡΑΠΟΣ","Θεσσαλονίκη","ΚΑΛΑΜΑΡΙΑ","Πολεμικές τέχνες","Aikido",,"http://www.atrapos.gr/",,,,,,,,,,,,,,"aikido.gr",,"Αθλητικός Σύλλογος",
"Geobukan Budo Academy","Αθήνα","Καλιθέα","Πολεμικές τέχνες","Aikido,Capoeira,Ju Jitsu,Παγκράτιο,MMA,Kickboxing,Karate","https://www.facebook.com/geobukan.professional/","http://www.geobukan.gr/",,"http://www.fightsports.gr/wp-content/uploads/2016/12/geobukan-logo.jpg","Σχολές: 1.Geobukan-Βάρης:Λεωφόρος Βάρης 94,Βάρη - 2.Geobukan Μαρκοπούλου: Κλειστό Δημοτικό Γυμναστήριο Μαρκοπούλου,Μαρκόπουλο -3. Geobukan Νέου Φαλήρου-ΣΕΦ:Στάδιο Ειρήνης και Φιλίας (Αίθουσα 11,1ος Όροφος),Νέο Φάληρο",,"210 96 57 389","info@geobukan.gr",,,,,,,,"fightsports.gr","6944 427 050",,
"Kantza Aikikai","Αθήνα","Κάντζα","Πολεμικές τέχνες","Aikido","https://www.facebook.com/profile.php?id=100009083572392","http://www.kantzaaikikai.gr/el/aikido-3/",,,,,,,,,,,,,,"aikido.gr",,,
"Fukushinkan","Αθήνα","Κέντρο-Αθήνα","Πολεμικές τέχνες","Aikido","https://www.facebook.com/Hellenic-Aikido-Association-Fukushinkan-Dojo-official-Athens-Greece-268826066481640/","http://www.hellenicaikido.gr/",,,,,,,,,,,,,,"aikido.gr",,,
"SHU REN KAN","Αθήνα","ΚΟΛΩΝΟΣ","Πολεμικές τέχνες","Aikido","https://el-gr.facebook.com/Shu-Ren-Kan-Aikido-Dojo-161708514023546/","http://www.aikido-dojo.gr/",,,,,,,,,,,,,,"aikido.gr",,,
"Athens Bushido Center (UAD member)","Αθήνα","Κουκάκι","Πολεμικές τέχνες","Aikido","https://el-gr.facebook.com/Athens.Bushido.Center/","http://aikidobushidocenter.gr/",,,,,,,,,,,,,,"aikido.gr",,,
"Aikido Athens bushido center","Αθήνα","Κουκάκι","Πολεμικές τέχνες","Aikido",,"http://www.aikidobushidocenter.gr/",,,"Tousa Mpotsari 11 koukaκi 11741, Metro station FIX 80m distance, Athina 117 41, Greece",,"697 338 1917","info@aikidobushidocenter.gr",,,,,,,,"hunter.io",,,
"Sei-Ki Aikido Dojo","Αθήνα","Κυψέλη","Πολεμικές τέχνες","Aikido","https://www.facebook.com/pages/Sei-ki-dojo/539600529394720","http://www.sei-ki-dojoathens.com/",,,"Kafkasou 151, Athina 113 64, Greece",,"694 590 7896",,,,,,,,,"hunter.io",,,
"SEI – KI AIKIDO DOJO","Αθήνα","Κυψέλη","Πολεμικές τέχνες","Aikido","www.facebook.com/pages/Sei-ki-dojo/539600529394720","http://sei-ki-dojo8.webnode.gr/",,"https://www.polemikes-tehnes.gr/pics/logos/b/2014022112056936.jpg",,,," kglouftsios@yahoo.gr",,,,,,,,"polemikes-texnes.gr",,,
"AIKIDO KODOKAN ΛΥΚΟΒΡΥΣΗ","Αθήνα","Λυκόβρυση","Πολεμικές τέχνες","Aikido","www.facebook.com/aikidoarts.gr","www.aikidoarts.gr",,"https://www.polemikes-tehnes.gr/pics/logos/b/2015829102914389.jpg",,,," haakodokan@hotmail.com ",,,,,,,,"polemikes-texnes.gr",,,
"Aikibuddha","Αθήνα","ΜΑΡΟΥΣΙ","Πολεμικές τέχνες","Aikido","https://el-gr.facebook.com/aikibuddha/",,,,,,,,,,,,"checked",,,"aikido.gr",,,
"Marousi Dojo","Αθήνα","ΜΑΡΟΥΣΙ","Πολεμικές τέχνες","Aikido","https://el-gr.facebook.com/Marousi-Dojo-Senshinkan-Aikido-721088017997556/","http://www.titanasgym.com/",,,,,,,,,,,,,,"aikido.gr",,,
"Ο.Α.Κ.Α.","Αθήνα","ΜΑΡΟΥΣΙ","Πολεμικές τέχνες","Aikido",,"http://martialway.gr/",,,,,,,,,,,,,,"aikido.gr",,,
"Titanas Gym","Αθήνα","ΜΑΡΟΥΣΙ","Πολεμικές τέχνες","Γυμναστική,Ενόργανη,Aikido,Krav Maga,Kickboxing,Boxing","https://www.facebook.com/Titanas-Athlitikos-Syllogos-604969459632453/?pnref=lhc","http://www.titanasgym.gr/",,"http://www.fightsports.gr/wp-content/uploads/2016/04/titanas-logo.jpg","Παπαφλέσσα 26 & Βορείου Ηπείρου,Μαρούσι",,"Κιν.: 6937 308 632","titanasgym@hotmail.com",,,,,,,,"fightsports.gr",,,
"Mushindokan Dojo","Αθήνα","ΜΕΤΑΜΟΡΦΩΣΗ","Πολεμικές τέχνες","Aikido","https://www.facebook.com/aikidomushindokan","https://aikidomushindokan.gr/index.php",,,,,,,,,,,,,,"aikido.gr",,,
"Monastiraki Dojo","Αθήνα","Μοναστηράκι","Πολεμικές τέχνες","Aikido","https://el-gr.facebook.com/MonastirakiDojo/","http://www.monastirakidojo.com/",,,"Protogenous 1, Athina 105 54, Greece",,"697 211 2656",,,,,,,,,"aikido.gr",,,
"AIKIDO DOJO TOKAIDO","Αθήνα","Μοναστηράκι","Πολεμικές τέχνες","Aikido","www.facebook.com/tokaidogr","www.tokaido.gr/",,"https://www.polemikes-tehnes.gr/pics/logos/b/201389161436679.jpg",,,," tokaidogr@gmail.com",,,,,,,,"polemikes-texnes.gr",,,
"ΜΟΝΑΣΤΗΡΑΚΙ DOJO","Αθήνα","Μοναστηράκι","Πολεμικές τέχνες","Aikido","www.facebook.com/MonastirakiDojo","www.monastirakidojo.com/",,"https://www.polemikes-tehnes.gr/pics/logos/b/2014818123725426.jpg",,,," yvasilakos@gmail.com",,,,,,,,"polemikes-texnes.gr",,,
"Aikido zanshin dojo","Αθήνα","Ν. Ιωνια","Πολεμικές τέχνες","Aikido","https://el-gr.facebook.com/aikidozanshin.gr/","http://aikidozanshin.gr/",,,"Paleologou 25, Nea Ionia 142 33, Greece",,,,,,,,,,,"hunter.io",,,
"ΑΙΟΛΟΣ","Αθήνα","Ν. Κόσμος","Πολεμικές τέχνες","Aikido",,"http://www.aikidokobukan.gr/",,,,,,,,,,,,,,"aikido.gr",,,
"Aikido Kobukan Dojo - Adam Adamski (6 Dan)","Αθήνα","Ν. Κόσμος","Πολεμικές τέχνες","Aikido","https://el-gr.facebook.com/Aikido-Kobukan-Dojo-888231501306298/","https://aikidokobukan.wordpress.com/",,,"Metro station N. Kosmos, Αμεινοκλέους 18, Athina 117 44, Greece",,"21 0922 2458",,,,,,,,,"hunter.io",,,
"Martial Arts Foundation (AWA member)","Αθήνα","Ν. ΨΥΧΙΚΟ","Πολεμικές τέχνες","Aikido","https://el-gr.facebook.com/MartialArtsFoundation/","http://www.ma-foundation.gr/",,,,,,,,,,,,,,"aikido.gr",,,
"KENWAKAI AIKIDO DOJO","Αθήνα","ΝέοΗράκλειο","Πολεμικές τέχνες","Aikido","www.facebook.com/aikidokenwakai","www.aikidokenwakai.gr",,"https://www.polemikes-tehnes.gr/pics/logos/b/2018025233355687.jpg",,,," di.nikolopoulos@gmail.com",,,,,,,,"polemikes-texnes.gr",,,
"Α.Σ. ΩΡΙΩΝΑΣ","Αθήνα","Παγκράτι","Πολεμικές τέχνες","Aikido","https://www.facebook.com/%CE%A9%CF%81%CE%AF%CF%89%CE%BD%CE%B1%CF%82-%CE%91%CE%A3-%CE%A0%CE%BF%CE%BB%CE%B5%CE%BC%CE%B9%CE%BA%CF%8E%CE%BD-%CE%A4%CE%B5%CF%87%CE%BD%CF%8E%CE%BD-416727285139598/",,,,,,,,,,,,,,,"aikido.gr",,"Αθλητικός Σύλλογος",
"Α.Σ Ωρίωνας","Αθήνα","Παγκράτι","Πολεμικές τέχνες","Aikido,Boxing,Karate","https://www.facebook.com/pages/%CE%A9%CF%81%CE%AF%CF%89%CE%BD%CE%B1%CF%82-%CE%91%CE%A3-%CE%A0%CE%BF%CE%BB%CE%B5%CE%BC%CE%B9%CE%BA%CF%8E%CE%BD-%CE%A4%CE%B5%CF%87%CE%BD%CF%8E%CE%BD/416727285139598?sk=timeline",,,"http://www.fightsports.gr/wp-content/uploads/2014/06/1900206_416752011803792_832354621_o.jpg","Β.Λάσκου 37 και Αγ.Φανουρίου,Παγκράτι",,,"wriwn@yahoo.gr",,,,,,,,"fightsports.gr","6975 653 883 - 6943 674 453",,
"Randori Dojo","Αθήνα","ΠΕΙΡΑΙΑΣ","Πολεμικές τέχνες","Aikido",,"http://www.aikidorandori.gr/",,,,,,,,,,,,,,"aikido.gr",,,
"ΠΕΙΡΑΪΚΟΣ ΣΥΛΛΟΓΟΣ AIKIDO‏","Αθήνα","ΠΕΙΡΑΙΑΣ","Πολεμικές τέχνες","Aikido","www.facebook.com/aikido.piraeus?viewer_id=1386950119",,,"https://www.polemikes-tehnes.gr/pics/logos/b/201726111627150.jpg",,,," aikidokoushikan@gmail.com",,,,,"checked",,,"polemikes-texnes.gr",,,
"Koushinkan Dojo Πειραιάς","Αθήνα","Πειραιάς","Πολεμικές τέχνες","Aikido","https://www.facebook.com/Pilates-Piraeus-Koushikan-dojo-486102688159235/timeline/","http://www.aikidokoushikan.gr",,,,,,,,,,,,,,,,,
"AIKIDO ZANSHIN","Αθήνα","Περισσός-ΝέαΙωνία","Πολεμικές τέχνες","Aikido",,"www.aikidogreece.gr",,"https://www.polemikes-tehnes.gr/pics/logos/b/61.jpg",,,," info@aikidogreece.gr",,,,,,,,"polemikes-texnes.gr",,,
"NishiMachi","Αθήνα","ΠΕΡΙΣΤΕΡΙ","Πολεμικές τέχνες","Aikido","https://el-gr.facebook.com/NishiMachi-Aikido-Dojo-Peristeri-241039147516/","http://nishimachidojo.blogspot.com/",,,,,,,,,,,,,,"aikido.gr",,,
"Masagatsu Dojo","Αθήνα","ΠΕΤΡΟΥΠΟΛΗ","Πολεμικές τέχνες","Aikido","https://el-gr.facebook.com/Masagatsudojo/",,,,,,,,,,,,,,,"aikido.gr",,,
"ShuDoKan Dojo","Αθήνα","Πεύκης","Πολεμικές τέχνες","Aikido",,"http://shudokan.gr/",,,"Κοραή 6, Αχαρναί 136 73, Greece",,"21 0284 8196",,,,,,,,,"hunter.io",,,
"ZEN CENTER ATHENS","Αθήνα","ΠλατείαΑγ.Ειρήνης","Πολεμικές τέχνες","Aikido,Iaido","www.facebook.com/zencenterathens","http://www.zencenterathens.com",,"https://www.polemikes-tehnes.gr/pics/logos/b/2014818193149708.jpg",,,," info@zencenterathens.gr",,,,,,,,"polemikes-texnes.gr",,,
"AIKIDO RANDORI DOJO","Αθήνα","πλησίονΠανεπιστημίουΠειραιά","Πολεμικές τέχνες","Aikido","facebook.com/aikidorandorigr-667017553413126/","www.aikidorandori.gr",,"https://www.polemikes-tehnes.gr/pics/logos/b/2017821223051248.jpg",,,," spkaka88@gmail.com",,,,,,,,"polemikes-texnes.gr",,,
"Tokaido Dojo","Αθήνα","Ραφήνα","Πολεμικές τέχνες","Aikido","https://el-gr.facebook.com/tokaidogr/","http://www.tokaido.gr/",,,,,,,,,,,,,,"aikido.gr",,,
"Α.Γ.Σ. Πρωτέας","Αθήνα","Ραφήνα","Πολεμικές τέχνες","Aikido","https://www.facebook.com/pg/%CE%91-%CE%93-%CE%A3-%CE%A0%CE%A1%CE%A9%CE%A4%CE%95%CE%91%CE%A3-%CE%A1%CE%91%CE%A6%CE%97%CE%9D%CE%91%CE%A3-269793783033183/posts/?ref=page_internal",,,,,,,,,,,,,,,"aikido.gr",,"Γυμναστικός Αθλητικός Σύλλογος",
"TENJIN DOJO ATHENS","Αθήνα","Υμηττός","Πολεμικές τέχνες","Aikido","www.facebook.com/taiho.jutsubyrongr?lst=1386950119%3A100007183391295%3A1506198880",,,"https://www.polemikes-tehnes.gr/pics/logos/b/201782323397982.jpg",,,," vangelismakris456@gmail.com",,,,,,,,"polemikes-texnes.gr",,,
"Athens Aikikai","Αθήνα","ΧΑΛΑΝΔΡΙ-μαιν","Πολεμικές τέχνες","Aikido","http://www.facebook.com/aikidoathensdojo","http://www.aikidoathens.gr/",,,"Chrisippou 30, Zografou 157 73, Greece",,"694 777 6942","info@aikidoathens.gr",,,,,,,,"aikido.gr",,,
"Athens Aikido","Αθήνα","ΧΟΛΑΡΓΟΣ","Πολεμικές τέχνες","Aikido","http://www.facebook.com/groups/122673251103166/","http://www.athensaikido.gr/?page_id=32&lang=gr",,,,,,,,,,,,,,"aikido.gr",,,
"Aikido School Athens","Αθήνα","ΧΟΛΑΡΓΟΣ",,"Aikido",,"http://aikidoschoolathens.gr/",,,"Menippou ke Doridos, Cholargos 155 62, Greece",,,,,,,,,,,"hunter.io",,,
"Σχολή παραδοσιακού κινέζικου Σαολιν-Κουνγκ Φου. Hung Gar, Wing Chun, Sanda, Tai Chi,Yoga, AIKIDO","Αθήνα","ΧΟΛΑΡΓΟΣ","Πολεμικές τέχνες","Aikido","https://el-gr.facebook.com/%CE%A3%CF%8D%CE%BB%CE%BB%CE%BF%CE%B3%CE%BF%CF%82-Traditional-Chinese-ShaoLin-Kung-Fu-Hung-Gar-524379450927119/about",,,,"Menippou 9, Αθήνα, Χολαργός 155 62, Greece",,,,,,,,,,,"hunter.io",,,
