School,City,Perioxi,Category,Subcategory,Organization,Facebook,Website,Logo,Address,TK,Phone,email,Courses,Place,Rensponsible,Description,Verified,map block field,έτος ίδρυσης,data origin,mobile,Eidos,To publish
Α.Σ. ΚΑΡΑΤΕ ΑΧΙΛΛΕΙΩΝ,Κέρκυρα,,Πολεμικές τέχνες,,,www.facebook.com/vasilis.zablakos,www.vasiliszablakos.com/,https://www.polemikes-tehnes.gr/pics/logos/b/2017924193419721.jpg,,,, vzablakos66@gmail.com,,,,,,,,polemikes-texnes.gr,,,
TZANOS KARATE ACADEMY,,Κ.Χαλάνδρι,Πολεμικές τέχνες,,,www.facebook.com/TzanosKarateAcademyChalandri/,www.karatechalandri.gr/,https://www.polemikes-tehnes.gr/pics/logos/b/2017827103350926.png,,,, tzanos_world@hotmail.com,,,,,,,,polemikes-texnes.gr,,,
AIKIDO DOJO TOKAIDO,Αθήνα,Μοναστηράκι,Πολεμικές τέχνες,,,www.facebook.com/tokaidogr,www.tokaido.gr/,https://www.polemikes-tehnes.gr/pics/logos/b/201389161436679.jpg,,,, tokaidogr@gmail.com,,,,,,,,polemikes-texnes.gr,,,
TITANS FIGHTERS,Χαλκιδική,ΝέαΜουδανιά,Πολεμικές τέχνες,,,www.facebook.com/Titans-Fighters-435601423267457/,,https://www.polemikes-tehnes.gr/pics/logos/b/201792154945253.jpg,,,, dimtsatalas@gmail.com,,,,,,,,polemikes-texnes.gr,,,
Α.Σ. ΠΥΡΣΟΣ,Αθήνα,Ν.Ηράκλειο,Πολεμικές τέχνες,,,www.facebook.com/Tang-Soo-Do-Pyrsos-251016628273818/,www.pyrsos.gr,https://www.polemikes-tehnes.gr/pics/logos/b/2016814121339648.jpg,,,, info@pyrsos.gr,,,,,,,,polemikes-texnes.gr,,,
TENJIN DOJO ATHENS,Αθήνα,Υμηττός,Πολεμικές τέχνες,,,www.facebook.com/taiho.jutsubyrongr?lst=1386950119%3A100007183391295%3A1506198880,,https://www.polemikes-tehnes.gr/pics/logos/b/201782323397982.jpg,,,, vangelismakris456@gmail.com,,,,,,,,polemikes-texnes.gr,,,
TAI CHI CHUAN ΝΕΑΣ ΣΜΥΡΝΗΣ,Αθήνα,ΝέαΣμύρνη,Πολεμικές τέχνες,,,www.facebook.com/TaiChiChuanNSmyrnis,www.taichi.gr/index.php,https://www.polemikes-tehnes.gr/pics/logos/b/2013913165615296.JPG,,,, lydiatilli@hotmail.com,,,,,,,,polemikes-texnes.gr,,,
Α.Σ. ΤΑΪ ΤΣΙ ΤΣΟΥΑΝ ΑΘΗΝΑΣ,Αθήνα,ΝέοΗράκλειο,Πολεμικές τέχνες,,,www.facebook.com/TaiChiChuanAthens,taichiathens.gr,https://www.polemikes-tehnes.gr/pics/logos/b/2015822124613338.jpg,,,, taichiathens@gmail.com,,,,,,,,polemikes-texnes.gr,,,
Α.Σ ΤΑΕΚΒΟΝΤΟ ΑΜΠΕΛΟΚΗΠΩΝ,Αθήνα,Αμπελόκηποι,Πολεμικές τέχνες,,,www.facebook.com/taekwon.do.9237,,https://www.polemikes-tehnes.gr/pics/logos/b/2014101712516473.jpg,,,, taeabelokipon@gmail.com,,,,,,,,polemikes-texnes.gr,,,
STREET DEFENCE CLUB,Αθήνα,Λαμπρινή,Πολεμικές τέχνες,,,www.facebook.com/streetdefenceclub/,www.streetdefenceclub.com,https://www.polemikes-tehnes.gr/pics/logos/b/201681412194297.jpg,,,, streetdefenceclub@gmail.com,,,,,,,,polemikes-texnes.gr,,,
Α.Σ. ΜΑΧΗΤΙΚΩΝ ΑΘΛΗΜΑΤΩΝ Η ΓΕΦΥΡΑ,Αθήνα,Γέφυρα,Πολεμικές τέχνες,,,www.facebook.com/stavros.gouroutzas?fref=ts,,https://www.polemikes-tehnes.gr/pics/logos/b/201592125729247.jpg,,,, a.s.m.agefyrazol@hotmail.com,,,,,,,,polemikes-texnes.gr,,,
SOLAR KARATE,Κέρκυρα,,Πολεμικές τέχνες,,,www.facebook.com/SOLARSHOTOKANKARATECORFU/,,https://www.polemikes-tehnes.gr/pics/logos/b/20168912442696.jpg,,,, solarcorfutraining@gmail.com,,,,,,,,polemikes-texnes.gr,,,
Six Harmonies Praying Mantis Kung Fu,,,Πολεμικές τέχνες,,,www.facebook.com/Six-Harmonies-Praying-Mantis-Kung-Fu-Heraklion-286291331385663/timeline/,tanglangheraklion.com/,https://www.polemikes-tehnes.gr/pics/logos/b/20159129212775.jpg,,,, wfh6474@hotmail.com,,,,,,,,polemikes-texnes.gr,,,
ΜΑΧΗΤΕΣ ΣΙΘΩΝΙΑΣ,Χαλκιδική,,Πολεμικές τέχνες,,,www.facebook.com/sithones.machetes,,https://www.polemikes-tehnes.gr/pics/logos/b/2017931194536450.JPG,,,, tsikouristeam@yahoo.gr,,,,,,,,polemikes-texnes.gr,,,
ΣΟΤΟΚΑΝ ΚΑΡΑΤΕ ΠΤΟΛΕΜΑΪΔΑΣ,Πτολεμαΐδα,,Πολεμικές τέχνες,,,www.facebook.com/shotokankarate.ptolemaidas,www.polemikes-tehnes.gr/sxoles/203/ΣΟΤΟΚΑΝ-ΚΑΡΑΤΕ-ΠΤΟΛΕΜΑΪΔΑΣ,https://www.polemikes-tehnes.gr/pics/logos/b/201481913179108.jpg,,,, ,,,,,,,,polemikes-texnes.gr,,,
SHITOKAI GREECE,Αθήνα,Περιστέρι,Πολεμικές τέχνες,,,www.facebook.com/shitoryuyoshukandojo?fref=ts,shitoryugreece.com,https://www.polemikes-tehnes.gr/pics/logos/b/2018015125715591.jpg,,,, shitoryugreece@gmail.com ,,,,,,,,polemikes-texnes.gr,,,
SHITO RYU KARATE ΡOΔΟΣ,Ρόδος,,Πολεμικές τέχνες,,,www.facebook.com/SHITO-RYU-Karate-%CE%A1%CE%9F%CE%94%CE%9F%CE%A3-690240834349934/,,https://www.polemikes-tehnes.gr/pics/logos/b/201792231127958.jpg,,,, ,,,,,,,,polemikes-texnes.gr,,,
ΚΡΑΒ ΜΑΓΚΑ-ΒΡΑΖΙΛΙΑΝΙΚΟ ΖΙΟΥ ΖΙΤΣΟΥ ΡΕΘΥΜΝΟΥ,Ρέθυμνο,,Πολεμικές τέχνες,,,www.facebook.com/RethymnonKravers,,https://www.polemikes-tehnes.gr/pics/logos/b/20141017125619996.jpg,,,, kravmaga.rethymnon@gmail.com,,,,,,,,polemikes-texnes.gr,,,
ΑΘΛΗΤΙΚΟ ΚΕΝΤΡΟ SHOTOKAN KARATE ΧΙΟΥ,Χίος,,Πολεμικές τέχνες,,,www.facebook.com/profile.php?id=100007326557014,skchios.wordpress.com/,https://www.polemikes-tehnes.gr/pics/logos/b/2015916133020503.jpg,,,, shkchios@gmail.com ,,,,,,,,polemikes-texnes.gr,,,
A.Σ. TΑΕΚΒΟΝΤΟ KEUMGANG,Αθήνα,Κερατσίνι,Πολεμικές τέχνες,,,www.facebook.com/profile.php?id=100003284968812,,https://www.polemikes-tehnes.gr/pics/logos/b/2014115152553562.jpg,,,, iantkd@yahoo.gr,,,,,,,,polemikes-texnes.gr,,,
ΚΕΝΤΡΟ ΜΑΧΗΤΙΚΩΝ ΤΕΧΝΩΝ ΤΑΣΟΣ ΖΕΡΒΑΣ,,ΓλυκάΝερά,Πολεμικές τέχνες,,,www.facebook.com/polemikestexneszervas/,polemikestexneszervas.gr/,https://www.polemikes-tehnes.gr/pics/logos/b/201782811112323.jpg,,,, info@polemikestexneszervas.gr,,,,,,,,polemikes-texnes.gr,,,
ΑΚΑΔΗΜΙΑ ΕΞΕΛΙΓΜΕΝΩΝ ΜΑΧΗΤΙΚΩΝ ΤΕΧΝΩΝ,Αθήνα,ΝέαΦιλαδέλφεια,Πολεμικές τέχνες,,,www.facebook.com/pmahellas,pmahellas.com/,https://www.polemikes-tehnes.gr/pics/logos/b/2014112419159216.jpg,,,, info@pmahellas.com,,,,,,,,polemikes-texnes.gr,,,
ΠΟΛΙΤΙΣΤΙΚΟ ΚΕΝΤΡΟ INTERCHINA ΠΕΙΡΑΙΑ,Αθήνα,Πειραιάς,Πολεμικές τέχνες,,,www.facebook.com/PiraeusEagleClaw/ ,www.eagleclaw.gr,https://www.polemikes-tehnes.gr/pics/logos/b/201781213925851.jpg,,,, ianastasiou@biol.uoa.gr ,,,,,,,,polemikes-texnes.gr,,,
COLOSSEUM FIGHTING ARENA ΠΕΙΡΑΙΑΣ,Αθήνα,Πειραιάς,Πολεμικές τέχνες,,,www.facebook.com/piraeuscolosseum.arena/timeline,,https://www.polemikes-tehnes.gr/pics/logos/b/2015814134455842.jpg,,,, stavrosstof@gmail.com,,,,,,,,polemikes-texnes.gr,,,
BOXING ACADEMY MAVRODAKOS,Αθήνα,Πέραμα,Πολεμικές τέχνες,,,www.facebook.com/peramaboxing,,https://www.polemikes-tehnes.gr/pics/logos/b/2016871869996.jpg,,,, ,,,,,,,,polemikes-texnes.gr,,,
ΚΡΑΒ ΜΑΓΚΑ ΠΑΡΟΣ,Πάρος,,Πολεμικές τέχνες,,,www.facebook.com/ParosKravMagaMentality/,paroskravmaga.wixsite.com/kravmagaparos,https://www.polemikes-tehnes.gr/pics/logos/b/2017513225041907.png,,,, paroskravmaga@outlook.com,,,,,,,,polemikes-texnes.gr,,,
ZONGAS FIGHTING TEAM,Αθήνα,Δασκάλοι,Πολεμικές τέχνες,,,www.facebook.com/pages/Zongas-Fighiting-Team/280263182506,www.polemikes-tehnes.gr/sxoles/199/ZONGAS-FIGHTING-TEAM,https://www.polemikes-tehnes.gr/pics/logos/b/201481913244558.jpg,,,, zongas-team@hotmail.com ,,,,,,,,polemikes-texnes.gr,,,
Shinken Dojo Athens,Αθήνα,Αργιθέα,Πολεμικές τέχνες,,,www.facebook.com/pages/Shinken-Dojo-Athens/41448456323,www.bujutsu.gr/,https://www.polemikes-tehnes.gr/pics/logos/b/201331135315697.jpg,,,, contact@bujutsu.gr,,,,,,,,polemikes-texnes.gr,,,
SEI – KI AIKIDO DOJO,Αθήνα,Κυψέλη,Πολεμικές τέχνες,,,www.facebook.com/pages/Sei-ki-dojo/539600529394720,sei-ki-dojo8.webnode.gr/,https://www.polemikes-tehnes.gr/pics/logos/b/2014022112056936.jpg,,,, kglouftsios@yahoo.gr,,,,,,,,polemikes-texnes.gr,,,
Α.Σ. ΦΑΕΘΩΝ ΘΕΣΣΑΛΟΝΙΚΗΣ,Αθήνα,Νεάπολη,Πολεμικές τέχνες,,,www.facebook.com/pages/Ninjutsu-Ju-Jitsu-%CE%98%CE%B5%CF%83%CF%83%CE%B1%CE%BB%CE%BF%CE%BD%CE%AF%CE%BA%CE%B7-%CE%91%CE%A3-%CE%A6%CE%B1%CE%AD%CE%B8%CF%89%CE%BD/188676331150829,www.ninpo.gr,https://www.polemikes-tehnes.gr/pics/logos/b/201308163648869.jpg,,,, ninpogr@gmail.com,,,,,,,,polemikes-texnes.gr,,,
KRAV MAGA ΠΕΡΙΣΤΕΡΙ,Αθήνα,Περιστέρι,Πολεμικές τέχνες,,,www.facebook.com/pages/Krav-Maga-Peristeri-IKMF/398560563506087,www.kravmagaperisteri.gr/,https://www.polemikes-tehnes.gr/pics/logos/b/2015211225046440.jpg,,,, kravmagaperisteri@hotmail.com,,,,,,,,polemikes-texnes.gr,,,
KEIKO SHOTOKAN KARATE-DO,Αθήνα,ΆγιοιΑπόστολοι,Πολεμικές τέχνες,,,www.facebook.com/pages/Keiko-Shotokan-Karate-Do/487946947965852,www.keiko-karate.gr,https://www.polemikes-tehnes.gr/pics/logos/b/2013819104152606.jpg,,,, info@keiko-karate.gr,,,,,,,,polemikes-texnes.gr,,,
Α.Σ. TΑΕ KWON DO-HAPKIDO ΑΡΓΥΡΟΥΠΟΛΗΣ,Αθήνα,Αργυρούπολη,Πολεμικές τέχνες,,,www.facebook.com/pages/Greek-Hapkido-Association/255474924463126,www.hapkidogreece.com/index.php,https://www.polemikes-tehnes.gr/pics/logos/b/2013315162053568.jpg,,,, greek-hapkido-association@hotmail.gr,,,,,,,,polemikes-texnes.gr,,,
FUDOSHIN DOJO- ΝΕΑ ΣΜΥΡΝΗ,Αθήνα,ΝεαΣμύρνη,Πολεμικές τέχνες,,,www.facebook.com/pages/Fudoshin-Dojo-Nea-Smyrni/418878931584131?sk=timeline,www.fudoshin.gr/,https://www.polemikes-tehnes.gr/pics/logos/b/201483017248327.jpg,,,, fudoshin-greece@hotmail.com,,,,,,,,polemikes-texnes.gr,,,
EVALUTION ESKRIMA HELLAS,Αθήνα,Λαμπρινή,Πολεμικές τέχνες,,,www.facebook.com/pages/Doce-Pares-Hellas/154961167923915,www.eskrima-hellas.gr,https://www.polemikes-tehnes.gr/pics/logos/b/2016729143636959.jpeg,,,, nikolaos_karakizis@yahoo.com,,,,,,,,polemikes-texnes.gr,,,
CHOROS CENTER,Αθήνα,Μοναστηράκι,Πολεμικές τέχνες,,,www.facebook.com/pages/Choros-space-Tune-in/139763139411274,www.choros-space.gr/choros-space/p28/%CE%91%CF%81%CF%87%CE%B9%CE%BA%CE%AE.html,https://www.polemikes-tehnes.gr/pics/logos/b/20135913401165.jpg,,,, info@choros-space.gr,,,,,,,,polemikes-texnes.gr,,,
A.Σ. ΩΡΙΩΝΑΣ ΠΑΓΚΡΑΤΙΟΥ,Αθήνα,Παγκράτι,Πολεμικές τέχνες,,,www.facebook.com/pages/%CE%A9%CF%81%CE%AF%CF%89%CE%BD%CE%B1%CF%82-%CE%91%CE%A3-%CE%A0%CE%BF%CE%BB%CE%B5%CE%BC%CE%B9%CE%BA%CF%8E%CE%BD-%CE%A4%CE%B5%CF%87%CE%BD%CF%8E%CE%BD/416727285139598?fref=ts,,https://www.polemikes-tehnes.gr/pics/logos/b/201412612108103.jpg,,,, wriwn@yahoo.gr,,,,,,,,polemikes-texnes.gr,,,
Α.Σ. ΟΙ ΚΟΥΡΗΤΕΣ-ΑΛΕΞΑΝΔΡΟΣ ΠΕΤΡΟΥ,Αθήνα,ΤρείςΓέφυρες,Πολεμικές τέχνες,,,www.facebook.com/pages/%CE%A3%CF%87%CE%BF%CE%BB%CE%AE-%CE%A0%CE%BF%CE%BB%CE%B5%CE%BC%CE%B9%CE%BA%CF%8E%CE%BD-%CE%A4%CE%B5%CF%87%CE%BD%CF%8E%CE%BD-KaliArnisEscrima-Philipino-Jeet-Kune-Do/289628341087148,arnis.gr/,https://www.polemikes-tehnes.gr/pics/logos/b/20138511348440.jpg,,,, info@alekospetrou.gr,,,,,,,,polemikes-texnes.gr,,,
Α. Ο. ΔΥΝAMIKΗΣ ΑΥΤΟΑΜΥΝΑΣ ΚΟΡΩΠΙΟΥ,Αθήνα,Κορωπί,Πολεμικές τέχνες,,,www.facebook.com/pages/%CE%91%CE%B8%CE%BB%CE%B7%CF%84%CE%B9%CE%BA%CF%8C%CF%82-%CF%8C%CE%BC%CE%B9%CE%BB%CE%BF%CF%82-%CE%B4%CF%85%CE%BD%CE%B1%CE%BC%CE%B9%CE%BA%CE%AE%CF%82-%CE%B1%CF%85%CF%84%CE%BF%CE%AC%CE%BC%CF%85%CE%BD%CE%B1%CF%82/252539904861193,www.dsdathens.gr,https://www.polemikes-tehnes.gr/pics/logos/b/2013930141631421.jpg,,,, sm@dsdathens.gr,,,,,,,,polemikes-texnes.gr,,,
Α.Σ. ΓΙΝ ΓΙΑΝΓΚ ΚΟΜΟΤΗΝΗΣ,Κομοτηνή,,Πολεμικές τέχνες,,,www.facebook.com/pages/%CE%91%CE%A3-YIN-YANG/279224925939?ref=stream,yin-yang-komotini.gr/,https://www.polemikes-tehnes.gr/pics/logos/b/2013229134154459.jpg,,,, moushakidim@yahoo.gr,,,,,,,,polemikes-texnes.gr,,,
Α.Σ. ΕΘΝΙΚΟΣ 95 TAEKWONDO ΠΑΛΑΤΙΑΝΗΣ (ΙΛΙΟΝ),Αθήνα,ΝέαΛιόσια,Πολεμικές τέχνες,,,www.facebook.com/pages/%CE%91%CE%A3-TAEKWONDO-%CE%95%CE%98%CE%9D%CE%99%CE%9A%CE%9F%CE%A3-95/156379733847?pnref=lhc,,https://www.polemikes-tehnes.gr/pics/logos/b/20141017123849826.jpg,,,, ethnikos95tkd@yahoo.gr,,,,,,,,polemikes-texnes.gr,,,
SHOTOKAN ΚARATE ΤΡΙΠΟΛΗΣ- ΤΙΓΡΗΣ & ΔΡΑΚΟΣ,Τρίπολη,,Πολεμικές τέχνες,,,www.facebook.com/pages/%CE%91%CE%98%CE%9B%CE%97%CE%A4%CE%99%CE%9A%CE%9F%CE%A3-%CE%9F%CE%9C%CE%99%CE%9B%CE%9F%CE%A3-SHOTOKAN-%CE%A4%CE%A1%CE%99%CE%A0%CE%9F%CE%9B%CE%97%CE%A3-%CE%A4%CE%99%CE%93%CE%A1%CE%97%CE%A3-%CE%94%CE%A1%CE%91%CE%9A%CE%9F%CE%A3/,www.shotokantripolis.gr/home/,https://www.polemikes-tehnes.gr/pics/logos/b/20138818620234.jpg,,,, syllogos462@elok.gr,,,,,,,,polemikes-texnes.gr,,,
Α.Σ. ΚΑΡΑΤΕ-ΖΙΟΥ ΖΙΤΣΟΥ ΑΠΟΛΛΟΦΑΝΟΥΣ ΦΙΛΟΞΕΝΟΣ,Ζάκυνθος,,Πολεμικές τέχνες,,,www.facebook.com/pages/%CE%9A%CE%AD%CE%BD%CF%84%CF%81%CE%BF-%CE%B5%CE%BA%CF%80%CE%B1%CE%AF%CE%B4%CE%B5%CF%85%CF%83%CE%B7%CF%82-%CE%B1%CF%85%CF%84%CE%BF%CE%AC%CE%BC%CF%85%CE%BD%CE%B1%CF%82-zantebudoacademygr/131844920261091?sk=timeline,www.zantebudoacademy.gr/,https://www.polemikes-tehnes.gr/pics/logos/b/2014824114822462.jpg,,,, info@zantebudoacademy.gr,,,,,,,,polemikes-texnes.gr,,,
ΟΛΥΜΠΙΟΣ ΜΑΧΗΤΗΣ,Αθήνα,περιοχήΕυκαρπίδη,Πολεμικές τέχνες,,,www.facebook.com/olimpios.maxitis,,https://www.polemikes-tehnes.gr/pics/logos/b/2016810112113283.jpg,,,, olimpiosmaxitis@hotmail.com,,,,,,,,polemikes-texnes.gr,,,
Α.Σ ΠΥΓΜΗ ΝΕΑΣ ΙΩΝΙΑΣ,Αθήνα,Καλογρέζα,Πολεμικές τέχνες,,,www.facebook.com/nikos.mrc,,https://www.polemikes-tehnes.gr/pics/logos/b/2014824114535241.jpg,,,, ,,,,,,,,polemikes-texnes.gr,,,
MYKONOS BJJ,Μύκονος,,Πολεμικές τέχνες,,,www.facebook.com/MykonosBrazilianJiuJitsu/,,https://www.polemikes-tehnes.gr/pics/logos/b/2017112121484398.jpg,,,, routaz@yahoo.gr,,,,,,,,polemikes-texnes.gr,,,
ΜΟΝΑΣΤΗΡΑΚΙ DOJO,Αθήνα,Μοναστηράκι,Πολεμικές τέχνες,,,www.facebook.com/MonastirakiDojo,www.monastirakidojo.com/,https://www.polemikes-tehnes.gr/pics/logos/b/2014818123725426.jpg,,,, yvasilakos@gmail.com,,,,,,,,polemikes-texnes.gr,,,
MARTIAL ARTS FOUNDATION,Αθήνα,ΝέοΨυχικό,Πολεμικές τέχνες,,,www.facebook.com/MartialArtsFoundation,www.ma-foundation.gr/el,https://www.polemikes-tehnes.gr/pics/logos/b/2014818135637986.jpg,,,, hfoundationma@gmail.com,,,,,,,,polemikes-texnes.gr,,,
Α.Σ. ΜΑΧΗΤΙΚΗ ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ,Αθήνα,Ακαδημία Πλάτωνος,Πολεμικές τέχνες,,,www.facebook.com/mahitikiakadimia/timeline,,https://www.polemikes-tehnes.gr/pics/logos/b/2015818115620162.jpg,,,, kosrimbaud@gmail.com,,,,,,,,polemikes-texnes.gr,,,
ΚΟΥΝΓΚ ΦΟΥ ΙΩΑΝΝΙΝΑ,Ιωάννινα,,Πολεμικές τέχνες,,,www.facebook.com/kungfuioannina/,www.kungfuioannina.gr/,https://www.polemikes-tehnes.gr/pics/logos/b/20176610219150.jpg,,,, kungfuioannina@gmail.com,,,,,,,,polemikes-texnes.gr,,,
BAGUAZHANG-TAI CHI -ATHENS,Αθήνα,ΙΛΙΣΙΑ,Πολεμικές τέχνες,,,www.facebook.com/kungfufuego?pnref=lhc,www.yulikungfu.com/,https://www.polemikes-tehnes.gr/pics/logos/b/2016118181221151.jpg,,,, julieb16682@gmail.com,,,,,,,,polemikes-texnes.gr,,,
KRAV MAGA ΑΙΓΑΛΕΩ,Αθήνα,Αιγάλεω,Πολεμικές τέχνες,,,www.facebook.com/kravmagaaigaleo/,,https://www.polemikes-tehnes.gr/pics/logos/b/20171027121814572.jpg,,,, info@combatkravmaga.gr,,,,,,,,polemikes-texnes.gr,,,
ΚΑΡΑΤΕ-ΖΙΟΥ ΖΙΤΣΟΥ ΚΑΡΛΑΤΗΡΑΣ,,,Πολεμικές τέχνες,,,www.facebook.com/kostas.karlatiras.9?lst=1386950119%3A100000624296665%3A1506975514,,https://www.polemikes-tehnes.gr/pics/logos/b/201792232959923.jpg,,,, askarateinofyron33@gmail.com,,,,,,,,polemikes-texnes.gr,,,
KING OF THE RING,Θεσσαλονίκη,Καυτανζόγλειο,Πολεμικές τέχνες,,,www.facebook.com/KINGoftheRINGHellas/,www.kingofthering.gr,https://www.polemikes-tehnes.gr/pics/logos/b/201608141018806.jpg,,,, ,,,,,,,,polemikes-texnes.gr,,,
HAPKIDO ΚΑΣΣΑΝΔΡΟΣ,Θεσσαλονίκη,,Πολεμικές τέχνες,,,www.facebook.com/kassandros.hapkido,,https://www.polemikes-tehnes.gr/pics/logos/b/2017924184528173.jpg,,,, ifandidisd@yahoo.gr,,,,,,,,polemikes-texnes.gr,,,
TORA SHOTOKAN KARATE-DO,Αθήνα,Ηλιούπολη,Πολεμικές τέχνες,,,www.facebook.com/karatetora/timeline,www.karate-tora.gr,https://www.polemikes-tehnes.gr/pics/logos/b/201592114430406.jpg,,,, info@karate-tora.gr,,,,,,,,polemikes-texnes.gr,,,
SHIDOKAN SHIRASAGI DOJO ATHENS,Αθήνα,μετρόΠανόρμου,Πολεμικές τέχνες,,,www.facebook.com/KarateShidokanGreece/,www.shorinryu.gr/,https://www.polemikes-tehnes.gr/pics/logos/b/2017822132752879.png,,,, info@shorinryu.gr,,,,,,,,polemikes-texnes.gr,,,
ΚΑΡΑΤΕ ΠΕΙΡΑΙΑΣ,Αθήνα,Πειραιάς,Πολεμικές τέχνες,,,www.facebook.com/karatepeiraias/,www.karatepeiraias.gr,https://www.polemikes-tehnes.gr/pics/logos/b/2017723122513948.jpg,,,, info@karatepeiraias.gr,,,,,,,,polemikes-texnes.gr,,,
Α.Σ. ΝΕΑΠΟΛΗ ΛΑΚΩΝΙΑΣ,,,Πολεμικές τέχνες,,,www.facebook.com/karate.jujitsu.7,,https://www.polemikes-tehnes.gr/pics/logos/b/201592112322772.jpg,,,, il.manolakos@yahoo.gr,,,,,,,,polemikes-texnes.gr,,,
ΣΥΛΛΟΓΟΣ ΠΟΛΕΜΙΚΩΝ ΤΕΧΝΩΝ ΕΡΜΙΟΝΙΔΑΣ,Αθήνα,Αργολίδα,Πολεμικές τέχνες,,,www.facebook.com/john.dela.1023,choyleefut.gr,https://www.polemikes-tehnes.gr/pics/logos/b/2017627111746463.jpg,,,, John-dela@hotmail.com ,,,,,,,,polemikes-texnes.gr,,,
Α.Σ.ΠΟΛΕΜΙΚΩΝ ΤΕΧΝΩΝ ΚΑΒΑΛΑΣ,Αθήνα,ΓυμναστήριοΜουσικούΣχολείου,Πολεμικές τέχνες,,,www.facebook.com/Jiujitsu-temple-boxing-313196402115331/timeline/,www.jiujitsu-iai.com/index.htm,https://www.polemikes-tehnes.gr/pics/logos/b/201595175545573.jpg,,,, barberis59@yahoo.gr,,,,,,,,polemikes-texnes.gr,,,
