School,City,Perioxi,Category,Subcategory,Organization,Facebook,Website,Logo,Address,TK,Phone,email,Courses,Place,Rensponsible,Description,Verified,map block field,έτος ίδρυσης,data origin,mobile,Eidos
ΟΜΙΛΟΣ ΑΝΤΙΣΦΑΙΡΙΣΗΣ ΠΑΝΟΡΑΜΑΤΟΣ,Θεσσαλονίκη,,Αθλητισμός,Τένις,,,,,,,,,,,,,,,,,,
ΟΜΙΛΟΣ ΑΝΤΙΣΦΑΙΡΙΣΗΣ ΠΟΛΥΚΑΣΤΡΟΥ,Θεσσαλονίκη,,Αθλητισμός,Τένις,,,,,,,,,,,,,,,,,,
"ΟΜΙΛΟΣ ΑΝΤΙΣΦΑΙΡΙΣΗΣ ΣΟΥΡΩΤΗΣ ""ΑΛΕΞΑΝΔΡΟΣ""",Θεσσαλονίκη,,Αθλητισμός,Τένις,,,,,,,,,,,,,,,,,,
ΟΜΙΛΟΣ ΑΝΤΙΣΦΑΙΡΙΣΗΣ ΣΤΑΥΡΟΥ - ΑΣΠΡΟΒΑΛΤΑΣ,Θεσσαλονίκη,,Αθλητισμός,Τένις,,,,,,,,,,,,,,,,,,
ΟΜΙΛΟΣ ΑΝΤΙΣΦΑΙΡΙΣΗΣ ΤΟΥΜΠΑΣ ΘΕΣ/ΝΙΚΗΣ,Θεσσαλονίκη,,Αθλητισμός,Τένις,,,,,,,,,,,,,,,,,,
"ΟΜΙΛΟΣ ΑΝΤΙΣΦΑΙΡΙΣΗΣ ΩΡΑΙΟΚΑΣΤΡΟΥ ""Ο ΑΝΤΑΙΟΣ""",Θεσσαλονίκη,,Αθλητισμός,Τένις,,,,,,,,,,,,,,,,,,
ΟΜΙΛΟΣ ΠΡΩΤΑΘΛΗΤΩΝ ΘΕΣΣΑΛΟΝΙΚΗΣ,Θεσσαλονίκη,,Αθλητισμός,Τένις,,,,,,,,,,,,,,,,,,
Σ.Α.Α.Κ. ΑΝΑΤΟΛΙΑ,Θεσσαλονίκη,,Αθλητισμός,Τένις,,,,,,,,,,,,,,,,,,
Φ.Ο.Α. ΝΕΑΠΟΛΗΣ,Θεσσαλονίκη,,Αθλητισμός,Τένις,,,,,,,,,,,,,,,,,,
Μ.Γ.Σ. ΑΠΟΛΛΩΝ ΚΑΛΑΜΑΡΙΑΣ,Θεσσαλονίκη,,Αθλητισμός,Τένις,,,,,,,,,,,,,,,,,,Μορφωτικός Γυμναστικός Σύλλογος
ΜΑΧΗΤΩΝ,Θεσσαλονίκη,,Αθλητισμός,Τένις,,,,,,,,,,,,,,,,,,
ΟΜΙΛΟΣ ΑΝΤΙΣΦΑΙΡΙΣΗΣ ΘΕΣ/ΝΙΚΗΣ,Θεσσαλονίκη,,Αθλητισμός,Τένις,,,,,,,,,,,,,,,,,,
ΓΣ ΗΡΑΚΛΗΣ ΘΕΣ/ΝΙΚΗΣ,Θεσσαλονίκη,,Αθλητισμός,Στίβος,,,,,,,  2310 213251,,,,,,,,,,,Γυμναστικός Αθλητικός Σύλλογος
ΑΣ ΑΡΗΣ ΘΕΣ/ΝΙΚΗΣ,Θεσσαλονίκη,,Αθλητισμός,Στίβος,,,,,,,  2310 305402,,,,,,,,,,,Αθλητικός Σύλλογος
ΜΑΣ ΑΕΤΟΣ ΘΕΣ/ΝΙΚΗΣ,Θεσσαλονίκη,,Αθλητισμός,Στίβος,,,,,,,  2310 819964,,,,,,,,,,,
Π.Α.Ο.Κ.,Θεσσαλονίκη,,Αθλητισμός,Στίβος,,,,,,,  2310 988000,,,,,,,,,,,
ΜΕΑΣ ΤΡΙΤΩΝ ΘΕΣ/ΝΙΚΗΣ,Θεσσαλονίκη,,Αθλητισμός,Στίβος,,,,,,,  2310 510721,,,,,,,,,,,
ΓΑΣ ΚΟΥΦΑΛΙΩΝ,Θεσσαλονίκη,,Αθλητισμός,Στίβος,,,,,,,  6972 408190,,,,,,,,,,,Γυμναστικός Αθλητικός Σύλλογος
ΓΣ ΛΑΓΚΑΔΑ,Θεσσαλονίκη,,Αθλητισμός,Στίβος,,,,,,,,,,,,,,,,,,Γυμναστικός Αθλητικός Σύλλογος
ΑΛΕΞΑΝΔΡΟΣ ΑΣ,Θεσσαλονίκη,,Αθλητισμός,Στίβος,,,,,,,  6972 051359,,,,,,,,,,,
ΑΙΟΛΟΣ ΜΑΚΕΔΟΝΙΑΣ ΓΕΠΘ,Θεσσαλονίκη,,Αθλητισμός,Στίβος,,,,,,,  2310 917063,,,,,,,,,,,
ΣΑΠΚ ΝΕΑΠΟΛΗΣ,Θεσσαλονίκη,,Αθλητισμός,Στίβος,,,,,,,  6988 446224,,,,,,,,,,,
ΑΣ ΡΗΓΑΣ ΘΕΣ/ΝΙΚΗΣ,Θεσσαλονίκη,,Αθλητισμός,Στίβος,,,,,,,  2310 424949,,,,,,,,,,,Αθλητικός Σύλλογος
ΒΕΡΓΙΝΑ,Θεσσαλονίκη,,Αθλητισμός,Στίβος,,,,,,,,,,,,,,,,,,
ΑΓΕΜΣ ΣΠΑΡΤΑΚΟΣ,Θεσσαλονίκη,,Αθλητισμός,Στίβος,,,,,,,,,,,,,,,,,,
ΑΓΣ ΔΙΑΣ ΣΟΧΟΥ,Θεσσαλονίκη,,Αθλητισμός,Στίβος,,,,,,,,,,,,,,,,,,
ΑΦ ΘΕΡΜΗΣ ΑΔΩΝΙΣ,Θεσσαλονίκη,,Αθλητισμός,Στίβος,,,,,,,,,,,,,,,,,,
ΑΣ ΘΗΣΕΑΣ,Θεσσαλονίκη,,Αθλητισμός,Στίβος,,,,,,,,,,,,,,,,,,Αθλητικός Σύλλογος
ΑΟ ΟΞΥΘΕΜΙΣ,Πολύγυρος,,Αθλητισμός,Στίβος,,,,,,,  23710 025062,,,,,,,,,,,Αθλητικός Όμιλος
ΓΣ ΧΑΡΙΛΑΟΥ 'Ο ΜΑΚΕΔΩΝ',Θεσσαλονίκη,,Αθλητισμός,Στίβος,,,,,,,  2310 866867,,,,,,,,,,,Γυμναστικός Αθλητικός Σύλλογος
ΑΦ ΑΔΩΝΙΣ ΘΕΣ/ΝΙΚΗΣ,Θεσσαλονίκη,,Αθλητισμός,Στίβος,,,,,,,,,,,,,,,,,,
ΠΑΟ ΝΕΑΠΟΛΗΣ,Θεσσαλονίκη,,Αθλητισμός,Στίβος,,,,,,,  6972 636829,,,,,,,,,,,
ΑΠΣ ΑΡΕΝΑ ΤΟΥΜΠΑΣ,Θεσσαλονίκη,,Αθλητισμός,Στίβος,,,,,,,  2310 902933,,,,,,,,,,,
Α.Α ΑΛΜΠΑΤΡΟΣ  ,Θεσσαλονίκη,,Αθλητισμός,Κολύμβηση,,,,,,,,,,,,,,,,,,
ΑΕ ΚΑΛΑΜΑΡΙΑΣ «ΑΓ.ΝΙΚΟΛΑΟΣ»,Θεσσαλονίκη,,Αθλητισμός,Κολύμβηση,,,,,,,,,,,,,,,,,,Αθλητική Ένωση
ΑΣ ΑΡΗΣ   ,Θεσσαλονίκη,,Αθλητισμός,Κολύμβηση,,,,,,,,,,,,,,,,,,Αθλητικός Σύλλογος
ΑΣ ΜΑΚΕΔΟΝΙΚΟΣ,Θεσσαλονίκη,,Αθλητισμός,Κολύμβηση,,,,,,,,,,,,,,,,,,Αθλητικός Σύλλογος
ΓΑΣ ΚΑΛΑΜΑΡΙΑΣ ΒΟΣΠΟΡΟΣ,Θεσσαλονίκη,,Αθλητισμός,Κολύμβηση,,,,,,,,,,,,,,,,,,Γυμναστικός Αθλητικός Σύλλογος
ΓΣ ΗΡΑΚΛΗΣ   ,Θεσσαλονίκη,,Αθλητισμός,Κολύμβηση,,,,,,,,,,,,,,,,,,Γυμναστικός Αθλητικός Σύλλογος
ΕΑΤΕΚ ΘΕΣΣΑΛΟΝΙΚΗΣ,Θεσσαλονίκη,,Αθλητισμός,Κολύμβηση,,,,,,,,,,,,,,,,,,
Ι.Ο ΘΕΣΣΑΛΟΝΙΚΗΣ  ,Θεσσαλονίκη,,Αθλητισμός,Κολύμβηση,,,,,,,,,,,,,,,,,,
ΜΓΣ ΑΠΟΛΛΩΝ ΚΑΛΑΜΑΡ ,Θεσσαλονίκη,,Αθλητισμός,Κολύμβηση,,,,,,,,,,,,,,,,,,
ΝΟ ΜΟΥΔΑΝΙΩΝ,Θεσσαλονίκη,,Αθλητισμός,Κολύμβηση,,,,,,,,,,,,,,,,,,
ΠΑΟΚ    ,Θεσσαλονίκη,,Αθλητισμός,Κολύμβηση,,,,,,,,,,,,,,,,,,
ΣΑΠΚ ΝΕΑΠΟΛΗΣ,Θεσσαλονίκη,,Αθλητισμός,Κολύμβηση,,,,,,,,,,,,,,,,,,
Fukushinkan,Αθήνα,,Πολεμικές τέχνες,Aikido,,,,,,,,,,,,,,,,,,
ΕΜΠ Dojo,Αθήνα,,Πολεμικές τέχνες,Aikido,,,,,,,,,,,,,,,,,,
Α.Σ. TAEKWONDO (ΤΑΕΚΒΟΝΤΟ) ΠΑΓΚΡΑΤΙΟΥ,Αθήνα,,Πολεμικές τέχνες,Tae Kwon Do,,,,,,,,,,,,,,,,,,Αθλητικός Σύλλογος
Α.Σ. TAEKWONDO ΖΩΓΡΑΦΟΥ,Αθήνα,,Πολεμικές τέχνες,Tae Kwon Do,,,,,,,,,,,,,,,,,,Αθλητικός Σύλλογος
ΠΑΓΚΡΑΤΙΟΣ   Α.Γ. ΣΥΛΛΟΓΟΣ TAEKWONDO,Αθήνα,,Πολεμικές τέχνες,Tae Kwon Do,,,,,,,,,,,,,,,,,,Γυμναστικός Αθλητικός Σύλλογος
Α.Σ. ΠΡΟΜΠΟΝΑΣ ΑΘΗΝΑΣ,Αθήνα,,Πολεμικές τέχνες,Tae Kwon Do,,,,,,,,,,,,,,,,,,Αθλητικός Σύλλογος
Α.Σ. ΤΑΕΚΒΟΝΤΟ ΠΕΛΟΠΙΔΑΣ,Αθήνα,,Πολεμικές τέχνες,Tae Kwon Do,,,,,,,,,,,,,,,,,,Αθλητικός Σύλλογος
Α.Σ. ΕΘΝΙΚΟΣ 1995,Αθήνα,,Πολεμικές τέχνες,Tae Kwon Do,,,,,,,,,,,,,,,,,,Αθλητικός Σύλλογος
Α.Γ.Σ. Η ΟΛΥΜΠΙΑΔΑ,Αθήνα,,Πολεμικές τέχνες,Tae Kwon Do,,,,,,,,,,,,,,,,,,Γυμναστικός Αθλητικός Σύλλογος
ΑΘΗΝΑΪΚΟΣ ΑΣ   TAEKWON-DO,Αθήνα,,Πολεμικές τέχνες,Tae Kwon Do,,,,,,,,,,,,,,,,,,
Α.Σ. ΛΕΩΝ ΘΕΣΣΑΛΟΝΙΚΗΣ,Θεσσαλονίκη,,Πολεμικές τέχνες,Tae Kwon Do,,,,,,,,,,,,,,,,,,Αθλητικός Σύλλογος
ΠΑΝΕΛΛΗΝΙΟΣ   ΑΘΛΗΤΙΚΟΣ ΣΥΛΛΟΓΟΣ TAEKWONDO,Θεσσαλονίκη,,Πολεμικές τέχνες,Tae Kwon Do,,,,,,,,,,,,,,,,,,
ΑΘΛΗΤΙΚΟ   ΚΕΝΤΡΟ TAΕΚΒΟΝΤΟ ΚΑΤΩ ΤΟΥΜΠΑΣ ΘΕΣΣΑΛΟΝΙΚΗΣ,Θεσσαλονίκη,,Πολεμικές τέχνες,Tae Kwon Do,,,,,,,,,,,,,,,,,,
Α.Γ.Σ. ΠΟΛΥΔΑΜΑΣ ΤΡΙΑΝΔΡΙΑΣ,Θεσσαλονίκη,,Πολεμικές τέχνες,Tae Kwon Do,,,,,,,,,,,,,,,,,,Γυμναστικός Αθλητικός Σύλλογος
Α.Σ. TAEKWONDO ΜΑΚΕΔΟΝΕΣ ΕΛΕΥΘΕΡΙΟΥ – ΚΟΡΔΕΛΙΟΥ,Θεσσαλονίκη,,Πολεμικές τέχνες,Tae Kwon Do,,,,,,,,,,,,,,,,,,Αθλητικός Σύλλογος
Α.Σ. ΤΑΕΚΒΟΝΤΟ ΑΘΛΟΦΟΡΟΣ,Θεσσαλονίκη,,Πολεμικές τέχνες,Tae Kwon Do,,,,,,,,,,,,,,,,,,Αθλητικός Σύλλογος
Α.Γ.Σ. ΤΑΕΚΒΟΝΤΟ  ΚΥΜΙΝΩΝ – ΝΕΩΝ ΜΑΛΓΑΡΩΝ ΑΝΑΓΕΝΝΗΣΗ,Θεσσαλονίκη,,Πολεμικές τέχνες,Tae Kwon Do,,,,,,,,,,,,,,,,,,Γυμναστικός Αθλητικός Σύλλογος
ΠΑΝΘΕΣΣΑΛΟΝΙΚΕΙΟΣ   ΑΘΛΗΤΙΚΟΣ ΟΜΙΛΟΣ ΚΩΝΣΤΑΝΤΙΝΟΥΠΟΛΙΤΩΝ (Π.Α.Ο.Κ.),Θεσσαλονίκη,,Πολεμικές τέχνες,Tae Kwon Do,,,,,,,,,,,,,,,,,,
ΑΘΛΗΤΙΚΗ   ΚΙΝΗΣΗ ΑΜΠΕΛΟΚΗΠΩΝ,Θεσσαλονίκη,,Πολεμικές τέχνες,Tae Kwon Do,,,,,,,,,,,,,,,,,,
Α.Γ.Σ. ΤΑΕΚΒΟΝΤΟ ΜΑΧΗΤΕΣ,Θεσσαλονίκη,,Πολεμικές τέχνες,Tae Kwon Do,,,,,,,,,,,,,,,,,,Γυμναστικός Αθλητικός Σύλλογος
ΑΘΛΗΤΙΚΟΣ   ΟΜΙΛΟΣ ΓΥΜΝΑΣΤΙΚΗΣ  ΤΑΕΚΒΟΝΤΟ ΠΗΓΑΣΟΣ ΑΝΑΛΗΨΕΩΣ,Θεσσαλονίκη,,Πολεμικές τέχνες,Tae Kwon Do,,,,,,,,,,,,,,,,,,Αθλητικός Όμιλος
ΑΘΛΗΤΙΚΟΣ    ΣΥΛΛΟΓΟΣ  ΤΑΛΩΣ ΘΕΣΣΑΛΟΝΙΚΗΣ,Θεσσαλονίκη,,Πολεμικές τέχνες,Tae Kwon Do,,,,,,,,,,,,,,,,,,
Α. Σ. ΑΤΡΩΤΟΣ   ΑΣΒΕΣΤΟΧΩΡΙΟΥ,Θεσσαλονίκη,,Πολεμικές τέχνες,Tae Kwon Do,,,,,,,,,,,,,,,,,,
Α.Σ. ΤΑΕΚΒΟΝΤΟ ΝΙΚΟΠΟΛΗΣ «ΟΔΥΣΣΕΑΣ»,Θεσσαλονίκη,,Πολεμικές τέχνες,Tae Kwon Do,,,,,,,,,,,,,,,,,,Αθλητικός Σύλλογος
Α.Σ. ΑΣΠΙΣ  ΕΥΟΣΜΟΥ & δ.τ .»ΑΣ ΑΣΠΙΣ ΕΥΟΣΜΟΥ»,Θεσσαλονίκη,,Πολεμικές τέχνες,Tae Kwon Do,,,,,,,,,,,,,,,,,,Αθλητικός Σύλλογος
