"School","City","Perioxi","Category","Subcategory","Website","Facebook","email","Organization","Logo","Address","TK","Phone","Courses","Place","Rensponsible","Description","Verified","map block field","έτος ίδρυσης","data origin","mobile","type","To publish","UID"
"Sei-Ki Aikido Dojo","Αθήνα","Κυψέλη","Πολεμικές τέχνες","Aikido","http://www.sei-ki-dojoathens.com/","https://www.facebook.com/pages/Sei-ki-dojo/539600529394720",,,,"Kafkasou 151, Athina 113 64, Greece",,"694 590 7896",,,,,,,,"hunter.io",,,,1204
"SEI – KI AIKIDO DOJO","Αθήνα","Κυψέλη","Πολεμικές τέχνες","Aikido","http://sei-ki-dojo8.webnode.gr/","www.facebook.com/pages/Sei-ki-dojo/539600529394720"," kglouftsios@yahoo.gr",,"https://www.polemikes-tehnes.gr/pics/logos/b/2014022112056936.jpg",,,,,,,,,,,"polemikes-texnes.gr",,,,1206
"AIKIDO KODOKAN ΛΥΚΟΒΡΥΣΗ","Αθήνα","Λυκόβρυση","Πολεμικές τέχνες","Aikido","www.aikidoarts.gr","www.facebook.com/aikidoarts.gr"," haakodokan@hotmail.com ",,"https://www.polemikes-tehnes.gr/pics/logos/b/2015829102914389.jpg",,,,,,,,,,,"polemikes-texnes.gr",,,,1250
"Aikibuddha","Αθήνα","ΜΑΡΟΥΣΙ","Πολεμικές τέχνες","Aikido",,"https://el-gr.facebook.com/aikibuddha/",,,,,,,,,,,"checked",,,"aikido.gr",,,,1264
"Marousi Dojo","Αθήνα","ΜΑΡΟΥΣΙ","Πολεμικές τέχνες","Aikido","http://www.titanasgym.com/","https://el-gr.facebook.com/Marousi-Dojo-Senshinkan-Aikido-721088017997556/",,,,,,,,,,,,,,"aikido.gr",,,,1265
"Ο.Α.Κ.Α.","Αθήνα","ΜΑΡΟΥΣΙ","Πολεμικές τέχνες","Aikido","http://martialway.gr/",,,,,,,,,,,,,,,"aikido.gr",,,,1266
"Titanas Gym","Αθήνα","ΜΑΡΟΥΣΙ","Πολεμικές τέχνες","Aikido","http://www.titanasgym.gr/","https://www.facebook.com/Titanas-Athlitikos-Syllogos-604969459632453/?pnref=lhc","titanasgym@hotmail.com",,"http://www.fightsports.gr/wp-content/uploads/2016/04/titanas-logo.jpg","Παπαφλέσσα 26 & Βορείου Ηπείρου,Μαρούσι",,"Κιν.: 6937 308 632",,,,,,,,"fightsports.gr",,,,1267
"Mushindokan Dojo","Αθήνα","ΜΕΤΑΜΟΡΦΩΣΗ","Πολεμικές τέχνες","Aikido","https://aikidomushindokan.gr/index.php","https://www.facebook.com/aikidomushindokan",,,,,,,,,,,,,,"aikido.gr",,,,1300
"Monastiraki Dojo","Αθήνα","Μοναστηράκι","Πολεμικές τέχνες","Aikido","http://www.monastirakidojo.com/","https://el-gr.facebook.com/MonastirakiDojo/",,,,"Protogenous 1, Athina 105 54, Greece",,"697 211 2656",,,,,,,,"aikido.gr",,,,1315
"AIKIDO DOJO TOKAIDO","Αθήνα","Μοναστηράκι","Πολεμικές τέχνες","Aikido","www.tokaido.gr/","www.facebook.com/tokaidogr"," tokaidogr@gmail.com",,"https://www.polemikes-tehnes.gr/pics/logos/b/201389161436679.jpg",,,,,,,,,,,"polemikes-texnes.gr",,,,1316
"ΜΟΝΑΣΤΗΡΑΚΙ DOJO","Αθήνα","Μοναστηράκι","Πολεμικές τέχνες","Aikido","www.monastirakidojo.com/","www.facebook.com/MonastirakiDojo"," yvasilakos@gmail.com",,"https://www.polemikes-tehnes.gr/pics/logos/b/2014818123725426.jpg",,,,,,,,,,,"polemikes-texnes.gr",,,,1318
"Aikido zanshin dojo","Αθήνα","Ν. Ιωνια","Πολεμικές τέχνες","Aikido","http://aikidozanshin.gr/","https://el-gr.facebook.com/aikidozanshin.gr/",,,,"Paleologou 25, Nea Ionia 142 33, Greece",,,,,,,,,,"hunter.io",,,,1335
"ΑΙΟΛΟΣ","Αθήνα","Ν. Κόσμος","Πολεμικές τέχνες","Aikido","http://www.aikidokobukan.gr/",,,,,,,,,,,,,,,"aikido.gr",,,,1337
"Aikido Kobukan Dojo - Adam Adamski (6 Dan)","Αθήνα","Ν. Κόσμος","Πολεμικές τέχνες","Aikido","https://aikidokobukan.wordpress.com/","https://el-gr.facebook.com/Aikido-Kobukan-Dojo-888231501306298/",,,,"Metro station N. Kosmos, Αμεινοκλέους 18, Athina 117 44, Greece",,"21 0922 2458",,,,,,,,"hunter.io",,,,1338
"Martial Arts Foundation (AWA member)","Αθήνα","Ν. ΨΥΧΙΚΟ","Πολεμικές τέχνες","Aikido","http://www.ma-foundation.gr/","https://el-gr.facebook.com/MartialArtsFoundation/",,,,,,,,,,,,,,"aikido.gr",,,,1342
"KENWAKAI AIKIDO DOJO","Αθήνα","ΝέοΗράκλειο","Πολεμικές τέχνες","Aikido","www.aikidokenwakai.gr","www.facebook.com/aikidokenwakai"," di.nikolopoulos@gmail.com",,"https://www.polemikes-tehnes.gr/pics/logos/b/2018025233355687.jpg",,,,,,,,,,,"polemikes-texnes.gr",,,,1420
"Α.Σ. ΩΡΙΩΝΑΣ","Αθήνα","Παγκράτι","Πολεμικές τέχνες","Aikido",,"https://www.facebook.com/%CE%A9%CF%81%CE%AF%CF%89%CE%BD%CE%B1%CF%82-%CE%91%CE%A3-%CE%A0%CE%BF%CE%BB%CE%B5%CE%BC%CE%B9%CE%BA%CF%8E%CE%BD-%CE%A4%CE%B5%CF%87%CE%BD%CF%8E%CE%BD-416727285139598/",,,,,,,,,,,,,,"aikido.gr",,"Αθλητικός Σύλλογος",,1483
"Α.Σ Ωρίωνας","Αθήνα","Παγκράτι","Πολεμικές τέχνες","Aikido",,"https://www.facebook.com/pages/%CE%A9%CF%81%CE%AF%CF%89%CE%BD%CE%B1%CF%82-%CE%91%CE%A3-%CE%A0%CE%BF%CE%BB%CE%B5%CE%BC%CE%B9%CE%BA%CF%8E%CE%BD-%CE%A4%CE%B5%CF%87%CE%BD%CF%8E%CE%BD/416727285139598?sk=timeline","wriwn@yahoo.gr",,"http://www.fightsports.gr/wp-content/uploads/2014/06/1900206_416752011803792_832354621_o.jpg","Β.Λάσκου 37 και Αγ.Φανουρίου,Παγκράτι",,,,,,,,,,"fightsports.gr","6975 653 883 - 6943 674 453",,,1487
"Randori Dojo","Αθήνα","ΠΕΙΡΑΙΑΣ","Πολεμικές τέχνες","Aikido","http://www.aikidorandori.gr/",,,,,,,,,,,,,,,"aikido.gr",,,,1523
"ΠΕΙΡΑΪΚΟΣ ΣΥΛΛΟΓΟΣ AIKIDO‏","Αθήνα","ΠΕΙΡΑΙΑΣ","Πολεμικές τέχνες","Aikido",,"www.facebook.com/aikido.piraeus?viewer_id=1386950119"," aikidokoushikan@gmail.com",,"https://www.polemikes-tehnes.gr/pics/logos/b/201726111627150.jpg",,,,,,,,"checked",,,"polemikes-texnes.gr",,,,1525
"Koushinkan Dojo Πειραιάς","Αθήνα","Πειραιάς","Πολεμικές τέχνες","Aikido","http://www.aikidokoushikan.gr","https://www.facebook.com/Pilates-Piraeus-Koushikan-dojo-486102688159235/timeline/",,,,,,,,,,,,,,,,,,1552
"AIKIDO ZANSHIN","Αθήνα","Περισσός-ΝέαΙωνία","Πολεμικές τέχνες","Aikido","www.aikidogreece.gr",," info@aikidogreece.gr",,"https://www.polemikes-tehnes.gr/pics/logos/b/61.jpg",,,,,,,,,,,"polemikes-texnes.gr",,,,1568
"NishiMachi","Αθήνα","ΠΕΡΙΣΤΕΡΙ","Πολεμικές τέχνες","Aikido","http://nishimachidojo.blogspot.com/","https://el-gr.facebook.com/NishiMachi-Aikido-Dojo-Peristeri-241039147516/",,,,,,,,,,,,,,"aikido.gr",,,,1569
"Masagatsu Dojo","Αθήνα","ΠΕΤΡΟΥΠΟΛΗ","Πολεμικές τέχνες","Aikido",,"https://el-gr.facebook.com/Masagatsudojo/",,,,,,,,,,,,,,"aikido.gr",,,,1604
"ShuDoKan Dojo","Αθήνα","Πεύκης","Πολεμικές τέχνες","Aikido","http://shudokan.gr/",,,,,"Κοραή 6, Αχαρναί 136 73, Greece",,"21 0284 8196",,,,,,,,"hunter.io",,,,1616
"ZEN CENTER ATHENS","Αθήνα","ΠλατείαΑγ.Ειρήνης","Πολεμικές τέχνες","Aikido","http://www.zencenterathens.com","www.facebook.com/zencenterathens"," info@zencenterathens.gr",,"https://www.polemikes-tehnes.gr/pics/logos/b/2014818193149708.jpg",,,,,,,,,,,"polemikes-texnes.gr",,,,1620
"AIKIDO RANDORI DOJO","Αθήνα","πλησίονΠανεπιστημίουΠειραιά","Πολεμικές τέχνες","Aikido","www.aikidorandori.gr","facebook.com/aikidorandorigr-667017553413126/"," spkaka88@gmail.com",,"https://www.polemikes-tehnes.gr/pics/logos/b/2017821223051248.jpg",,,,,,,,,,,"polemikes-texnes.gr",,,,1623
"Tokaido Dojo","Αθήνα","Ραφήνα","Πολεμικές τέχνες","Aikido","http://www.tokaido.gr/","https://el-gr.facebook.com/tokaidogr/",,,,,,,,,,,,,,"aikido.gr",,,,1654
"Α.Γ.Σ. Πρωτέας","Αθήνα","Ραφήνα","Πολεμικές τέχνες","Aikido",,"https://www.facebook.com/pg/%CE%91-%CE%93-%CE%A3-%CE%A0%CE%A1%CE%A9%CE%A4%CE%95%CE%91%CE%A3-%CE%A1%CE%91%CE%A6%CE%97%CE%9D%CE%91%CE%A3-269793783033183/posts/?ref=page_internal",,,,,,,,,,,,,,"aikido.gr",,"Γυμναστικός Αθλητικός Σύλλογος",,1655
"TENJIN DOJO ATHENS","Αθήνα","Υμηττός","Πολεμικές τέχνες","Aikido",,"www.facebook.com/taiho.jutsubyrongr?lst=1386950119%3A100007183391295%3A1506198880"," vangelismakris456@gmail.com",,"https://www.polemikes-tehnes.gr/pics/logos/b/201782323397982.jpg",,,,,,,,,,,"polemikes-texnes.gr",,,,1733
"Athens Aikikai","Αθήνα","ΧΑΛΑΝΔΡΙ-μαιν","Πολεμικές τέχνες","Aikido","http://www.aikidoathens.gr/","http://www.facebook.com/aikidoathensdojo","info@aikidoathens.gr",,,"Chrisippou 30, Zografou 157 73, Greece",,"694 777 6942",,,,,,,,"aikido.gr",,,,1776
"Athens Aikido","Αθήνα","ΧΟΛΑΡΓΟΣ","Πολεμικές τέχνες","Aikido","http://www.athensaikido.gr/?page_id=32&lang=gr","http://www.facebook.com/groups/122673251103166/",,,,,,,,,,,,,,"aikido.gr",,,,1795
"Aikido School Athens","Αθήνα","ΧΟΛΑΡΓΟΣ","Πολεμικές τέχνες","Aikido","http://aikidoschoolathens.gr/",,,,,"Menippou ke Doridos, Cholargos 155 62, Greece",,,,,,,,,,"hunter.io",,,,1801
"Σχολή παραδοσιακού κινέζικου Σαολιν-Κουνγκ Φου. Hung Gar, Wing Chun, Sanda, Tai Chi,Yoga, AIKIDO","Αθήνα","ΧΟΛΑΡΓΟΣ","Πολεμικές τέχνες","Aikido",,"https://el-gr.facebook.com/%CE%A3%CF%8D%CE%BB%CE%BB%CE%BF%CE%B3%CE%BF%CF%82-Traditional-Chinese-ShaoLin-Kung-Fu-Hung-Gar-524379450927119/about",,,,"Menippou 9, Αθήνα, Χολαργός 155 62, Greece",,,,,,,,,,"hunter.io",,,,1802
