School,City,Perioxi,Category,Subcategory,Organization,Facebook,Website,Logo,Address,TK,Phone,email,Courses,Place,Rensponsible,Description,Verified,map block field,έτος ίδρυσης,data origin,mobile
A.Σ. Καράτε Ηρακλείου ΚenKyuKan,Ηράκλειο,,Πολεμικές τέχνες,Karate,,,,https://www.polemikes-tehnes.gr/pics/logos/b/42.jpg,,,,,,,,,,,,Polemikes-technes.gr,
A.Σ. ΩΡΙΩΝΑΣ ΠΑΓΚΡΑΤΙΟΥ,Αθήνα,Παγκράτι,Πολεμικές τέχνες,,,www.facebook.com/pages/%CE%A9%CF%81%CE%AF%CF%89%CE%BD%CE%B1%CF%82-%CE%91%CE%A3-%CE%A0%CE%BF%CE%BB%CE%B5%CE%BC%CE%B9%CE%BA%CF%8E%CE%BD-%CE%A4%CE%B5%CF%87%CE%BD%CF%8E%CE%BD/416727285139598?fref=ts,,https://www.polemikes-tehnes.gr/pics/logos/b/201412612108103.jpg,,,, wriwn@yahoo.gr,,,,,,,,Polemikes-technes.gr,
A2Z fitness,Αθήνα,Κ. Κηφισιά,ΠΟΛΥΧΩΡΟΣ,,,https://www.facebook.com/atozfitness,http://www.a2zfitness.gr/?lang=el,,Μάτσα 15,14564,,antoniszervas@a2zfitness.gr,,,,,,,,wefit.gr,
A2Z fitness,Αθήνα,Κ. Κηφισιά,ΠΟΛΥΧΩΡΟΣ,,,https://www.facebook.com/atozfitness,http://www.a2zfitness.gr/?lang=el,,Μάτσα 15,14564,,antoniszervas@a2zfitness.gr,,,,,,,,wefit.gr,
AA Water Ski Porto Rafti,Αθήνα,ΠΕΡΙΣΤΕΡΙ,Θάλασσα,ΘΑΛΑΣΣΙΑ ΣΠΟΡ,,https://www.facebook.com/pandanaporta/timeline,http://ashtangayogaathens.com/,,25ης Μαρτίου 68 & Κουντουριώτου 32,12132,,info@ashtangayogaathens.com,,,,,,,,wefit.gr,
Academy of jeet kune do fighting technology,Αθήνα,ΚΑΙΣΑΡΙΑΝΗ,Πολεμικές τέχνες,,,https://www.facebook.com/jkd.gr/timeline,http://www.jkd.gr/,,Δηλού 9,16121,,,,,,,,,,wefit.gr,
ACE fitness,Αθήνα,Ν. ΣΜΥΡΝΗ,ΓΥΜΝΑΣΤΗΡΙΟ,PERSONAL TRAINER,,https://www.facebook.com/EMSfitness.bymihabodytec/?fref=ts,http://www.miha-bodytec.com/en/,,Ελ. Βενιζελου 181,17123,,,,,,,,,,wefit.gr,
ACE fitness,Αθήνα,Ν. ΣΜΥΡΝΗ,ΓΥΜΝΑΣΤΗΡΙΟ,PERSONAL TRAINER,,https://www.facebook.com/EMSfitness.bymihabodytec/?fref=ts,http://www.miha-bodytec.com/en/,,Ελ. Βενιζελου 181,17123,,,,,,,,,,wefit.gr,
Acharnai Tennis Academy,Αθήνα,ΑΧΑΡΝΑΙ-main,Αθλητισμός,Τένις,,https://www.facebook.com/acharnaitennis?fref=ts,http://www.acharnaitennisacademy.gr/,,Δεκελείας 193,13671,,info@acharnaitennis.gr,,,,,,,,wefit.gr,
Action Martial Arts & Fitness – Α.Σ Taekwondo Αργυρούπολης,Αθήνα,Αργυρούπολη,Πολεμικές τέχνες,Tae Kwon Do,,https://www.facebook.com/pages/Greek-Hapkido-Association/255474924463126,,http://www.fightsports.gr/wp-content/uploads/2013/12/action-martial-arts-fitness.jpg,,,210 99 38 401,actiongymnasthrio@hotmail.com,,,,,,,,fightsports.gr,
Active gym,Αθήνα,ΠΕΡΑΜΑ,ΓΥΜΝΑΣΤΗΡΙΟ,,,https://www.facebook.com/active.gym.14?ref=ts&fref=ts,,,Φαναρακίου 116,18863,,activegym@hotmail.gr,,,,,,,,wefit.gr,
Activities,Αθήνα,ΝΙΚΑΙΑ,ΓΥΜΝΑΣΤΗΡΙΟ,,,https://www.facebook.com/pages/%CE%93%CE%A5%CE%9C%CE%9D%CE%91%CE%A3%CE%A4%CE%97%CE%A1%CE%99%CE%9F-ACTIVITIES/113210542034893?sk=photos_stream,,,Πέτρου Ράλλη 291 & Γρεβενών,18450,,activitiesgym@hotmail.com,,,,,,,,wefit.gr,
AES ICARUS - BUJIKAN DOJO THRACE,Κομοτηνή,,Πολεμικές τέχνες,,,www.facebook.com/AES-Icaros-Martial-Arts-Academy-168319626561967/,,https://www.polemikes-tehnes.gr/pics/logos/b/20171113204035977.jpeg,,,, ,,,,,,,,Polemikes-technes.gr,
Aiantas Fitness Club,Αθήνα,Κρυονέρι,Πολεμικές τέχνες,,,https://www.facebook.com/aiantas2005,,,Λεωφόρος Κρυονερίου 53,14568,,atzitioz@hotmail.com,,,,,,,,wefit.gr,
Aikibuddha,Αθήνα,ΜΑΡΟΥΣΙ,Πολεμικές τέχνες,Aikido,,,,,,,,,,,,,,,,,
Aikido Academy,Αθήνα,ΕΛΛΗΝΙΚΟ,Πολεμικές τέχνες,,,https://www.facebook.com/aikidoacademy.gr/timeline,http://www.aikidoacademy.gr/el/home,,Θράκης 30,16777,,info@aikidoacademy.gr,,,,,,,,wefit.gr,
Aikido academy,Αθήνα,ΕΛΛΗΝΙΚΟ,Πολεμικές τέχνες,Aikido,,,,,,,,,,,,,,,,,
Aikido Academy-Βασίλης Νυκτερής,,,Πολεμικές τέχνες,Aikido,,www.facebook.com/aikidoacademy.gr,www.aikidoacademy.gr,https://www.polemikes-tehnes.gr/pics/logos/b/201291815155226.jpg,,,210 9732896 , info@aikidoacademy.gr,,,,,,,,Polemikes-technes.gr,
Aikido Center,Αθήνα,ΑΙΓΑΛΕΩ,Πολεμικές τέχνες,Aikido,,,,,,,,,,,,,,,,,
AIKIDO DOJO TOKAIDO,Αθήνα,Μοναστηράκι,Πολεμικές τέχνες,Aikido,,www.facebook.com/tokaidogr,www.tokaido.gr/,https://www.polemikes-tehnes.gr/pics/logos/b/201389161436679.jpg,,,, tokaidogr@gmail.com,,,,,,,,Polemikes-technes.gr,
AIKIDO DOJO ΗΡΑΚΛΕΙΟΥ,Χανιά,Θέρισσος,Πολεμικές τέχνες,Aikido,,www.facebook.com/aikidoheraklion,www.aikido-heraklion.gr,https://www.polemikes-tehnes.gr/pics/logos/b/1.jpg,,,, info@aikido-heraklion.gr,,,,,,,,Polemikes-technes.gr,
Aikido Geraka,Αθήνα,ΓΕΡΑΚΑΣ,Πολεμικές τέχνες,,,https://www.facebook.com/aikidomclub/,http://www.aikidogeraka.gr/,,Κρανιάς 5 & Πρίνου 38,15344,,,,,,,,,,wefit.gr,
Aikido Glyfadas,Αθήνα,ΓΛΥΦΑΔΑ,Πολεμικές τέχνες,Aikido,,,,,,,,,,,,,,,,,
AIKIDO KODOKAN ΛΥΚΟΒΡΥΣΗ,Αθήνα,ΛΥΚΟΒΡΥΣΗ,Πολεμικές τέχνες,Aikido,,www.facebook.com/aikidoarts.gr,www.aikidoarts.gr,https://www.polemikes-tehnes.gr/pics/logos/b/2015829102914389.jpg,,,, haakodokan@hotmail.com ,,,,,,,,Polemikes-technes.gr,
Aikido North Athens Dojo,Αθήνα,Δροσιά,Πολεμικές τέχνες,Aikido,,,,,,,,,,,,,,,,,
AIKIDO RANDORI DOJO,Αθήνα,πλησίον Πανεπιστημίου Πειραιά,Πολεμικές τέχνες,,,m.facebook.com/aikidorandorigr-667017553413126/,www.aikidorandori.gr,https://www.polemikes-tehnes.gr/pics/logos/b/2017821223051248.jpg,,,, spkaka88@gmail.com,,,,,,,,Polemikes-technes.gr,
Aikido Training Center,Αθήνα,ΑΓ. ΔΗΜΗΤΡΙΟΣ-main,Πολεμικές τέχνες,Aikido,,,,,,,,,,,,,,,,,
AIKIDO ZANSHIN,Αθήνα,Περισσός -Νέα Ιωνία,Πολεμικές τέχνες,Aikido,,,www.aikidogreece.gr,https://www.polemikes-tehnes.gr/pics/logos/b/61.jpg,,,210-2794329, info@aikidogreece.gr,,,,,,,,Polemikes-technes.gr,
AIKIDO ΑΘΗΝΩΝ,Αθήνα,,Πολεμικές τέχνες,Aikido,,www.facebook.com/AikidoAthensGreece/,www.aikidoathens.gr/,https://www.polemikes-tehnes.gr/pics/logos/b/2013118114158961.jpg,,,210 7487040 , info@aikidoathens.gr,,,,,,,,Polemikes-technes.gr,
AikidoWestEnd,Αθήνα,ΑΧΑΡΝΑΙ-main,Πολεμικές τέχνες,Aikido,,,,,,,,,,,,,,,,,
Airfitness,Αθήνα,ΧΑΛΑΝΔΡΙ,ΓΥΜΝΑΣΤΗΡΙΟ,PERSONAL TRAINER,,https://www.facebook.com/airpowerfitnessclub,http://www.airfitness.gr/,,Λεωφόρος Κηφισσίας 228,15231,,info@airfitness.gr,,,,,,,,wefit.gr,
Albatros Swim Academy,Θεσσαλονίκη,ΚΑΛΑΜΑΡΙΑ,Αθλητισμός,Κολύμβηση,none,https://www.facebook.com/a.a.albatros,,,,,,,"Κολύμβηση Αlbatros - μικρή πισίνα,Κολύμβηση Αlbatros - αγωνιστική,Κολύμβηση Αlbatros - ακαδημίες",,Αθηνά Καζάκη,,,,,,
ALMA Pilates,Αθήνα,Κολωνάκι,ΓΥΜΝΑΣΤΗΡΙΟ,PILATES,,http://www.facebook.com/alma.pilates.5?ref=br_rs,http://www.almapilates.gr/,,Καρνεάδου 12,10675,,info@almapilates.gr,,,,,,,,wefit.gr,
ananea pilates + yoga,Αθήνα,Κολωνάκι,ΓΥΜΝΑΣΤΗΡΙΟ,YOGA,,https://www.facebook.com/pages/Ananea-PilatesYoga-Kolonaki/666494490035838?fref=ts,http://ananeapilates.gr/,,Κλεομένους 2,10675,,,,,,,,,,wefit.gr,
Andy's gym,Αθήνα,ΚΑΛΛΙΘΕΑ,ΓΥΜΝΑΣΤΗΡΙΟ,,,https://www.facebook.com/pages/%CE%91%CE%A3-%CE%98%CE%B5%CE%B1%CE%B3%CE%B5%CE%BD%CE%B7%CF%82-Tae-Kwon-Do/394184174045228,http://www.theagenis.gr/,,Χαροκόπου 115-117,17676,,gtagas73@gmail.com,,,,,,,,wefit.gr,
Arcane Fighthood,Αθήνα,Αιγάλεω,Πολεμικές τέχνες,Boxing,,https://www.facebook.com/arcanefighthood1/timeline,,http://www.fightsports.gr/wp-content/uploads/2016/03/arcane-fighthood-logo-1.jpg,,,,fofonkinio@hotmail.com,,,,,,,,fightsports.gr,6931 182 637
Aris football,Θεσσαλονίκη,,Αθλητισμός,Ποδόσφαιρο,none,,http://www.arisac.gr/sports/academies/football/item/4948-%CE%B1%CE%BD%CE%B1%CE%BA%CE%BF%CE%AF%CE%BD%CF%89%CF%83%CE%B7-%CE%B1%CE%BA%CE%B1%CE%B4%CE%B7%CE%BC%CE%B9%CF%8E%CE%BD-%CF%80%CE%BF%CE%B4%CE%BF%CF%83%CF%86%CE%B1%CE%AF%CF%81%CE%BF%CF%85,,,,,,,,,,,,,,
Aristotelis Kalamarias Football Academy,Θεσσαλονίκη,ΚΑΛΑΜΑΡΙΑ,Αθλητισμός,Ποδόσφαιρο,none,https://www.facebook.com/Aristotelis-Kalamarias-Football-Academy-594995224003883/,,,,,,,,,,,,,,,
Ashtanga Yoga Halandri,Αθήνα,ΧΑΛΑΝΔΡΙ,ΓΥΜΝΑΣΤΗΡΙΟ,YOGA,,https://www.facebook.com/ashtangayoga.halandri?fref=ts,http://katerinazougrou.wix.com/ashtangayogahalandri,,Μεταμορφώσεως 51,15234,,,,,,,,,,wefit.gr,
Askitis Boxing-Kick Boxing Academy(Α.Ο. Διαγορας),Αθήνα,ΜΑΡΟΥΣΙ,Πολεμικές τέχνες,,,https://www.facebook.com/askitisteam/timeline,,,Αλεξάνδρου Παπανάστασιου 16,15126,,asktisacademy@yahoo.gr,,,,,,,,wefit.gr,
Asteria,Θεσσαλονίκη,,Αθλητισμός,Basket,none,,http://www.sbc.gr/asteriaindex.asp,,,,,,,,,,,,,,
Athens Aikido,Αθήνα,ΧΟΛΑΡΓΟΣ,Πολεμικές τέχνες,Aikido,,,,,,,,,,,,,,,,,
Athens Aikido Society,Αθήνα,ΒΥΡΩΝΑΣ-main,Πολεμικές τέχνες,Aikido,,,,,,,,,,,,,,,,,
Athens Aikikai,Αθήνα,ΧΑΛΑΝΔΡΙ,Πολεμικές τέχνες,Aikido,,,,,,,,,,,,,,,,,
Athens Bushido Center (UAD member),Αθήνα,Κουκάκι,Πολεμικές τέχνες,Aikido,,,,,,,,,,,,,,,,,
Athens Padel Club,Αθήνα,ΓΛΥΦΑΔΑ,Αθλητισμός,PADEL TENNIS,,https://www.facebook.com/PadelTennisGreece,http://www.athenspadelclub.gr/,,Ανδρέα Παπανδρέου 86 και Λυκούργου,16561,,papitojorgi@gmail.com,,,,,,,,wefit.gr,
Athens Tai Chi Chuan Association,Αθήνα,Ηράκλειο,Πολεμικές τέχνες,,,https://www.facebook.com/TaiChiChuanAthens,http://taichiathens.gr/,,Σελήνης 23,14123,,taichiathens@gmail.com,,,,,,,,wefit.gr,
Athina Diving,Αθήνα,ΛΑΓΟΝΗΣΙ,Θάλασσα,ΚΑΤΑΔΥΤΙΚΑ ΚΕΝΤΡΑ,,https://www.facebook.com/pages/Athina-Diving-Center/164598096962625,http://www.athinadiving.gr/,,Λεωφόρος Αθηνών Σούνιου 38ο Χλμ,19010,,info@athinadiving.gr,,,,,,,,wefit.gr,
Athletic Club Panorama,Αθήνα,Πετρούπολη,Πολεμικές τέχνες,Tae Kwon Do,,https://www.facebook.com/pages/AC-Tae-Kwon-Do-Panorama/854700784605933?sk=timeline,,http://www.fightsports.gr/wp-content/uploads/2015/08/athletic-club-panorama-logo.jpg,,,210 50 61 599,tkdpanorama@gmail.com,,,,,,,,fightsports.gr,6907 923 420
ATHLETIC SHAPE,Αθήνα,ΓΑΛΑΤΣΙ-main,ΓΥΜΝΑΣΤΗΡΙΟ,,,https://www.facebook.com/pages/ATHLETIC-SHAPE/172889199492870?ref=ts&fref=ts,,,Σύρου 5 & Βείκου,11147,,athleticshape@gmail.com,,,,,,,,wefit.gr,
Athlisi Tennis Club,Ναύπλιο,,Αθλητισμός,Τένις,,,,,,,,,,,,"3ο χλμ. Άργους - Ναυπλίου, Δαλαμανάρα, 2751 0 20755. Γυμναστήριο, καφέ-μπαρ",,,,http://www.tennisnews.gr/play-tennis/clubs,
Attica Beach Volley,Αθήνα,ΠΕΙΡΑΙΑΣ,Αθλητισμός,Volley,,https://www.facebook.com/AtticaBeachVolleyClub,http://www.atticabeachvolley.com/,,Σ.Ε.Φ.(Ολυμπιακό Προπονητήριο Beach Volley),18547,,info@atticabeachvolley.gr,,,,,,,,wefit.gr,
Axion fitness club,Αθήνα,ΧΟΛΑΡΓΟΣ,ΓΥΜΝΑΣΤΗΡΙΟ,,,https://www.facebook.com/gogo.gym?fref=ts,http://www.gogogym.gr/,,Φανερωμένης 13,15561,,gym@gogogym.gr,,,,,,,,wefit.gr,
Axion fitness club,Αθήνα,ΧΑΛΑΝΔΡΙ,ΓΥΜΝΑΣΤΗΡΙΟ,,,https://www.facebook.com/axionfitnessclub,http://axiongym.gr/,,Δουκίσσης Πλακεντίας 8,15234,,info@axiongym.gr,,,,,,,,wefit.gr,
Azzurro Diving,Αθήνα,Κάτω Πατήσσια,Θάλασσα,ΚΑΤΑΔΥΤΙΚΑ ΚΕΝΤΡΑ,,https://www.facebook.com/groups/azzurrodiving/,http://www.azzurrodiving.com/,,Χειμαρριώτου 9,:10445,,,,,,,,,,wefit.gr,
Aθλητικός Όμιλος Χολαργού Judokan,Αθήνα,Χολαργός,Πολεμικές τέχνες,Judo,,https://www.facebook.com/%CE%91%CE%B8%CE%BB%CE%B7%CF%84%CE%B9%CE%BA%CF%8C%CF%82-%CE%8C%CE%BC%CE%B9%CE%BB%CE%BF%CF%82-%CE%A7%CE%BF%CE%BB%CE%B1%CF%81%CE%B3%CE%BF%CF%8D-Judokan-1458718454397294/,,http://www.fightsports.gr/wp-content/uploads/2016/09/14269655_1278007518879116_1055092845_n.jpg,,,210 65 15 384,aojudokan@gmail.com,,,,,,,,fightsports.gr,
"Aθλητικός Σύλλογος Σύγχρονων Πολεμικών Τεχνών Χανίων ""ΣΚΟΡΠΙΟΣ""",Χανιά,,Πολεμικές τέχνες,,,,www.scorpionclub.com,https://www.polemikes-tehnes.gr/pics/logos/b/15.jpg,,,2821043823, info@scorpionclub.com,,,,,,,,Polemikes-technes.gr,
Aίας Χολαργού-Boxing Club,Αθήνα,Χολαργός (Τέρμα λεωφορείων - σχολεία),Πολεμικές τέχνες,Boxing,,https://www.facebook.com/%CE%9C%CE%91%CE%A3-%CE%A0%CF%85%CE%B3%CE%BC%CE%B1%CF%87%CE%B9%CE%B1%CF%82-%CE%91%CE%99%CE%91%CE%A3-%CE%A7%CE%BF%CE%BB%CE%B1%CF%81%CE%B3%CE%BF%CF%85-1684731551806793/,,http://www.fightsports.gr/wp-content/uploads/2016/09/14508465_1056886881095100_1900587953_n.jpg,,,,masaiasholargou@gmail.com,,,,,,,,fightsports.gr,6977 261 724
BAGUAZHANG-TAI CHI -ATHENS,Αθήνα,ΙΛΙΣΙΑ,Πολεμικές τέχνες,,,www.facebook.com/kungfufuego?pnref=lhc,www.yulikungfu.com/,https://www.polemikes-tehnes.gr/pics/logos/b/2016118181221151.jpg,,,, julieb16682@gmail.com,,,,,,,,Polemikes-technes.gr,
Barcelonica,Θεσσαλονίκη,,Αθλητισμός,Ποδόσφαιρο,none,https://www.facebook.com/BarcelonicaFC/,,,,,,,,,,,,,,,
Batista Academy,Αθήνα,ΑΧΑΡΝΑΙ-main,ΠΟΔΟΣΦΑΙΡΟ,Ποδόσφαιρο,,https://www.facebook.com/Daniel-Batista-sport-center-411561132527528/,http://www.batista-academy.webnode.gr/,,Δεκελείας 193,13671,,,,,,,,,,wefit.gr,
Battle Arena,Αθήνα, ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ,ΠΟΛΥΧΩΡΟΣ,,,https://www.facebook.com/pages/Battle-Arena/904419969576450?fref=ts,http://www.battlearena.gr/,,Μεσογείων 449 & Ελπίδος 1,15343,,info@battlearena.gr,,,,,,,,wefit.gr,
Battle Arena,Αθήνα,Αγία Παρασκευή - 2.Σόλωνος 22,Πολεμικές τέχνες,Boxing,,https://www.facebook.com/battlearena.ag.paraskevi/timeline,www.battlearena.gr,http://www.fightsports.gr/wp-content/uploads/2015/02/battle-arena-logo.jpg,,,210 63 95 992,info@battlearena.gr,,,,,,,,fightsports.gr,6981 030 417
Bavelas & Chatzinikolaou Tennis Academy,Αθήνα,Βάρκιζα,Αθλητισμός,Τένις,,https://www.facebook.com/MegasAlexandrosTennisAcademy/timeline,http://bcta.gr/,,Αφροδίτης 76,,,dxatzi1979@hotmail.co.uk,,,,,,,,wefit.gr,
Bebides,Θεσσαλονίκη,,Αθλητισμός,Ποδόσφαιρο,none,,http://www.bebides.gr/site/index.php,,,,,,,,,,,,,,
BENEFIT,Αθήνα,,ΓΥΜΝΑΣΤΗΡΙΟ,,,,,,,,,,,,,,,,,wefit.gr,
Body & Soul,Αθήνα,Ν. ΣΜΥΡΝΗ,ΓΥΜΝΑΣΤΗΡΙΟ,,,https://www.facebook.com/bodyandsoulgym.gr,http://neasmyrni.topgreekgyms.gr/,,Ομήρου 23,17121,,trigas_g@yahoo.gr,,,,,,,,wefit.gr,
Body Care Ladies,Αθήνα,ΚΑΛΛΙΘΕΑ,ΓΥΜΝΑΣΤΗΡΙΟ,,,https://www.facebook.com/pages/bodycareladies-fitness/211974048815712,http://www.bodycareladies.gr/,,Δαβάκη 68,17672,,bodycareladies@gmail.com,,,,,,,,wefit.gr,
Body Concept,Αθήνα,ΕΛΛΗΝΙΚΟ,ΓΥΜΝΑΣΤΗΡΙΟ,,,https://www.facebook.com/pages/Body-Concept/102312799813336,,,Ιασωνίδου 58,16777,,bodyconcept@hotmail.gr,,,,,,,,wefit.gr,
Body Control,Αθήνα,ΚΑΛΛΙΘΕΑ,ΓΥΜΝΑΣΤΗΡΙΟ,,,https://www.facebook.com/pages/Body-Control-Fitness-Club/122546001166337,,,Ελ.Βενιζέλου (Θησέως) 241,17674,,nickdimakos@bodycontrol.gr,,,,,,,,wefit.gr,
Body trainer,Αθήνα,ΛΥΚΟΒΡΥΣΗ,ΓΥΜΝΑΣΤΗΡΙΟ,,,https://www.facebook.com/BTSPEFKIS,,,Λ. Αμαρουσίου 58,14123,,c.basdekis@hotmail.com,,,,,,,,wefit.gr,
Bodyfit,Αθήνα,Ταύρος,ΓΥΜΝΑΣΤΗΡΙΟ,PERSONAL TRAINER,,https://www.facebook.com/bodyfitgym.tavros?fref=ts,http://www.bodyfitgym.gr/index.html,,25ης Μαρτίου 2,17778,,info@bodyfitgym.gr,,,,,,,,wefit.gr,
Bodymental Studio,Αθήνα,Άρτεμις,ΓΥΜΝΑΣΤΗΡΙΟ,PILATES,,https://www.facebook.com/pages/Bodymental-studio-yoga-pilates/247414588658685?sk=timeline,,,Λεωφόρος Καραμανλή & Αγίας Παρασκεύης 1,19016,,bodymental@hotmail.com,,,,,,,,wefit.gr,
Bodytone,Αθήνα,ΕΛΛΗΝΙΚΟ,ΓΥΜΝΑΣΤΗΡΙΟ,PILATES,,https://www.facebook.com/bodytone.gr,http://bodytone.gr/,,Πλάτωνος 7,16777,,e_rizou@hotmail.com,,,,,,,,wefit.gr,
Boxing academy,Αθήνα,ΔΡΑΠΕΤΣΩΝΑ,Πολεμικές τέχνες,,,https://www.facebook.com/boxingacademy.gr?ref=ts&fref=ts,,,Ρήγα Φεραιου & Κουντουριωτου,18648,,alekospapaiosif@gmail.com,,,,,,,,wefit.gr,
BOXING ACADEMY MAVRODAKOS,Αθήνα,ΠΕΡΑΜΑ,Πολεμικές τέχνες,,,www.facebook.com/peramaboxing,,https://www.polemikes-tehnes.gr/pics/logos/b/2016871869996.jpg,,,, ,,,,,,,,Polemikes-technes.gr,
BRASA HELLAS - IRAKLIS GRIGORIADIS FIGHT TEAM,Αθήνα,ΧΟΛΑΡΓΟΣ,Πολεμικές τέχνες,,,m.facebook.com/brasahellas/,,https://www.polemikes-tehnes.gr/pics/logos/b/20171121212632531.jpg,,,, iraklisgrigoriadis@hotmail.com,,,,,,,,Polemikes-technes.gr,
Brothers Gym (Chalkias Boxing Academy),Αθήνα,Νίκαια,Πολεμικές τέχνες,Boxing,,https://www.facebook.com/Brothers-Gym-Chalkias-Boxing-Academy-1945275729025714/,,http://www.fightsports.gr/wp-content/uploads/2017/09/brothers-gym-boxing-acadeny-logo.jpg,,,Κιν.: 6988 289 469 - 6948 553 375,mike.xalkias93@gmail.com,,,,,,,,fightsports.gr,
BUDO LIFE,Αθήνα,ΓΕΡΑΚΑΣ,Πολεμικές τέχνες,,,www.facebook.com/budolifegerakas/,www.budolife.gr/,https://www.polemikes-tehnes.gr/pics/logos/b/201772821917455.jpg,,,213 0453227 , info@budolife.gr,,,,,,,,Polemikes-technes.gr,
BUDOKAN DOJO ΚΑΤΕΡΙΝΗΣ,Κατερίνη,,Πολεμικές τέχνες,,,www.facebook.com/Budokan,www.shotokai.gr/,https://www.polemikes-tehnes.gr/pics/logos/b/20131028155811489.jpg,,,23510 21470, info@egamiryu.com,,,,,,,,Polemikes-technes.gr,
Budolife (AWA member),Αθήνα,ΓΕΡΑΚΑΣ,Πολεμικές τέχνες,Aikido,,,,,,,,,,,,,,,,,
BUJINKAN BANBUTSU RUTEN DOJO HELLAS,,,Πολεμικές τέχνες,,,www.facebook.com/bujinkanhellas ,www.bujinkanhellas.com/,https://www.polemikes-tehnes.gr/pics/logos/b/2017728145443406.jpg,,,210 8646042," bujinkandojohellas@gmail.com , info@bujinkanhellas.com ",,,,,,,,Polemikes-technes.gr,
BUJINKAN NICHIGETSU DOJO,Θεσσαλονίκη,Ανω Τούμπα,Πολεμικές τέχνες,,,www.facebook.com/Bujinkan.Nichigetsu.Dojo/?ref=br_rs,www.budotaijutsu.gr/,https://www.polemikes-tehnes.gr/pics/logos/b/201808132313770.jpg,,,, kapselidakis@budotaijutsu.gr ,,,,,,,,Polemikes-technes.gr,
Bulls Fight Academy,Αθήνα,Άγιος Δημήτριος,Πολεμικές τέχνες,Boxing,,https://www.facebook.com/BullsFightAcademy/timeline,,http://www.fightsports.gr/wp-content/uploads/2015/02/bulls-fight-academy-logo.png,,,,bullsfightacademy@gmail.com,,,,,,,,fightsports.gr,6932 270 623 - 6987 612 001
Bushinkan Dojo,Αθήνα,ΧΑΛΑΝΔΡΙ,Πολεμικές τέχνες,Aikido,,,,,,,,,,,,,,,,,
